"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.647841668E-2,-1.192364190E-2,1.255246103E-1,-4.027191177E-2,1.323647532E-1
2.644041670E-2,-5.105858296E-2,1.359492540E-1,-4.182315990E-2,1.511236423E-1
3.640241665E-2,-6.943199039E-2,1.032280475E-1,-5.723274127E-2,1.369394675E-1
4.636541667E-2,-6.076215208E-2,6.420694292E-2,-5.743801221E-2,1.054215153E-1
5.632741668E-2,-4.158020392E-2,7.602205873E-2,-2.513945848E-2,9.022338468E-2
6.629041670E-2,-3.516031057E-2,1.264228821E-1,3.025443852E-2,1.346637427E-1
7.625241665E-2,-2.047803812E-2,1.912143826E-1,8.604739606E-2,2.106809069E-1
8.621541667E-2,2.374009229E-2,2.469941229E-1,1.013530195E-1,2.680338099E-1
9.617741668E-2,7.022583485E-2,2.636455297E-1,7.146435976E-2,2.820421741E-1
1.061404167E-1,8.754387498E-2,2.271360010E-1,3.772319108E-2,2.463285045E-1
1.161024167E-1,4.718154296E-2,1.705142558E-1,1.130170096E-2,1.772820856E-1
1.260654167E-1,-5.732671358E-3,1.428344250E-1,-5.045950413E-3,1.430384497E-1
1.360274167E-1,-4.648010433E-2,1.325200051E-1,-6.036380306E-3,1.405645394E-1
1.459894167E-1,-7.055111974E-2,1.142230630E-1,-1.178467833E-2,1.347710921E-1
1.559524167E-1,-7.187684625E-2,1.034337953E-1,-3.169340640E-2,1.298818811E-1
1.659144167E-1,-3.061336093E-2,8.242557943E-2,-2.776822448E-2,9.220752845E-2
1.758774167E-1,2.457932010E-2,5.981453881E-2,-1.031013858E-2,6.548450952E-2
1.858394167E-1,5.765669048E-3,6.012047082E-2,2.732231095E-2,6.628893292E-2
1.958024167E-1,-6.599187106E-2,5.813907832E-2,6.511389464E-2,1.094298805E-1
2.057644167E-1,-9.984629601E-2,7.691811770E-3,1.003713161E-1,1.417845122E-1
2.157274167E-1,-9.804546088E-2,-7.516179234E-2,1.406287253E-1,1.871861261E-1
2.256894167E-1,-9.155338258E-2,-1.331078857E-1,1.791878641E-1,2.412633866E-1
2.356524167E-1,-7.558294386E-2,-1.721508950E-1,2.094363123E-1,2.814467640E-1
2.456144167E-1,-5.354692042E-2,-2.007335275E-1,2.292568237E-1,3.093863490E-1
2.555764167E-1,-3.186079860E-2,-2.177982628E-1,2.453524321E-1,3.296194923E-1
2.655394167E-1,-1.748665795E-2,-2.173058093E-1,2.545365691E-1,3.351364841E-1
2.755014167E-1,-2.964372002E-2,-2.087200433E-1,2.313803583E-1,3.130170552E-1
2.854644167E-1,-6.114795804E-2,-2.018880993E-1,1.893723309E-1,2.834779659E-1
2.954264167E-1,-6.375572085E-2,-1.867118031E-1,1.535195261E-1,2.499886682E-1
3.053894167E-1,-4.128543288E-2,-1.616016477E-1,1.161970347E-1,2.032764876E-1
3.153514167E-1,-1.937747374E-2,-1.294445097E-1,6.152739748E-2,1.446270660E-1
3.253144167E-1,-1.257892605E-2,-1.136680767E-1,-1.439769194E-2,1.152647152E-1
