"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.103920833E-2,-7.920575887E-2,4.700443149E-2,-1.091050953E-1,1.427826692E-1
2.100120834E-2,-8.006089926E-2,5.484903976E-2,-1.037257761E-1,1.420464761E-1
3.096420836E-2,-6.632488966E-2,4.414074868E-2,-8.329614997E-2,1.152633735E-1
4.092720838E-2,-4.735545814E-2,3.504392132E-2,-5.372148007E-2,7.972837173E-2
5.089020834E-2,-2.382351272E-2,3.351853043E-2,-2.349116094E-2,4.735912038E-2
6.085395836E-2,-1.182890311E-2,4.851132631E-2,2.156945877E-3,4.997923714E-2
7.081695832E-2,-1.159531251E-2,4.376336932E-2,3.047936130E-3,4.537591521E-2
8.077995834E-2,-8.871963248E-3,3.682769835E-2,3.992825747E-3,3.809112436E-2
9.074295836E-2,-5.929607898E-3,2.885862999E-2,3.482345026E-3,2.966660583E-2
1.007059583E-1,-4.239299335E-3,1.844567247E-2,-9.561143816E-5,1.892679670E-2
1.106689583E-1,-9.629079141E-4,1.503372006E-2,7.066912483E-3,1.663974707E-2
1.206319584E-1,1.758044004E-3,1.657808758E-2,4.905024543E-4,1.667825828E-2
1.305949584E-1,2.480827272E-3,2.471685782E-2,-3.601815552E-4,2.484365704E-2
1.405579583E-1,2.419840777E-3,1.322132256E-2,-2.962889150E-3,1.376363730E-2
1.505209584E-1,1.052836608E-2,2.790103666E-3,-7.160759531E-3,1.303486279E-2
1.604829584E-1,1.110893488E-2,-5.081667565E-3,-5.375908688E-3,1.334661656E-2
1.704459583E-1,1.511798985E-2,-1.038032211E-2,-4.756440409E-3,1.894540656E-2
1.804089583E-1,1.287853718E-2,-1.497347560E-2,-9.088337421E-3,2.174073523E-2
1.903719584E-1,1.451177243E-2,-8.143866435E-3,-9.092430584E-3,1.896276334E-2
2.003349583E-1,1.478527859E-2,1.468128804E-2,-1.289995108E-2,2.450619145E-2
2.102979583E-1,1.128675975E-2,3.430177644E-2,-1.322415099E-2,3.845622163E-2
2.202609584E-1,1.361489482E-2,3.375822306E-2,-1.175728068E-2,3.825201477E-2
2.302239583E-1,1.217259560E-2,1.201020181E-2,-1.000766829E-2,1.981339082E-2
2.401869583E-1,1.264184527E-2,-5.636435468E-3,-2.985712141E-3,1.415980698E-2
2.501499584E-1,8.538592607E-3,-1.472606324E-2,-2.787296660E-3,1.724916012E-2
2.601129584E-1,5.052781664E-3,-2.379492670E-2,3.532917239E-3,2.458069656E-2
2.700759583E-1,-5.174485035E-3,-4.305792227E-2,5.659628194E-3,4.373547024E-2
2.800389584E-1,-9.337537922E-3,-4.147547483E-2,5.725674331E-3,4.289741220E-2
2.900019584E-1,-1.160203759E-2,-2.638112754E-2,9.541538544E-3,3.035806522E-2
2.999639583E-1,-1.153545920E-2,-1.322830748E-2,9.478954598E-3,1.994756922E-2
3.099269583E-1,-1.291197911E-2,1.113671623E-2,1.132077910E-2,2.046718575E-2
3.198899584E-1,-9.139876813E-3,4.377135634E-2,4.422127269E-3,4.493355310E-2
3.298529583E-1,-1.231313124E-2,8.313977718E-2,6.373045500E-3,8.428790815E-2
3.398159583E-1,-2.137506939E-2,1.484402269E-1,1.039654948E-2,1.503312436E-1
3.497789584E-1,-3.109965846E-2,2.611875534E-1,1.175103150E-2,2.632949174E-1
3.597419583E-1,-4.974205047E-2,3.309464157E-1,1.554683503E-2,3.350246345E-1
3.697049583E-1,-1.730863936E-3,4.772935510E-1,-1.622378826E-2,4.775723411E-1
3.796679584E-1,-1.011928823E-2,8.644329906E-1,-1.568609849E-2,8.646345175E-1
3.896309583E-1,1.053930167E-2,1.356495619E0,-3.057862446E-2,1.356881164E0
3.995939583E-1,4.941426218E-2,1.852571964E0,-6.721226871E-2,1.854449282E0
4.095569584E-1,4.474045709E-2,2.272938728E0,-6.746838987E-2,2.274379950E0
4.195199584E-1,2.433984727E-2,2.630738735E0,-7.699318230E-2,2.631977711E0
4.294829583E-1,-1.596713997E-2,2.983148336E0,-6.209767237E-2,2.983837306E0
4.394449583E-1,-3.328248113E-2,3.402761221E0,-5.944382772E-2,3.403443142E0
4.494079584E-1,-3.146848083E-2,3.938818216E0,-6.903258711E-2,3.939548795E0
4.593709583E-1,-4.855159298E-2,4.568138123E0,-7.231200486E-2,4.568968395E0
4.693339583E-1,-7.558614761E-2,5.214641571E0,-7.097669691E-2,5.215672313E0
4.792969584E-1,-1.850074381E-1,5.822760105E0,-5.277771875E-2,5.825937562E0
4.892599583E-1,-4.104597028E-3,6.433713913E0,-1.175234690E-1,6.434788522E0
4.992229583E-1,9.989650920E-3,7.019348621E0,-1.342976689E-1,7.020640336E0
5.091859584E-1,-1.761014163E-1,7.624088287E0,-1.025619730E-1,7.626811449E0
5.191489583E-1,-1.346916556E-1,8.269734383E0,-1.232898831E-1,8.271750056E0
5.291119583E-1,-1.713035107E-1,8.911219597E0,-1.524858922E-1,8.914170267E0
5.390749584E-1,-3.060844913E-2,9.575210571E0,-1.702891290E-1,9.576773609E0
5.490379583E-1,1.777290702E-1,1.023215103E1,-1.570815742E-1,1.023489995E1
5.590009583E-1,3.438948467E-2,1.087133026E1,-1.944497228E-1,1.087312352E1
5.689639584E-1,-4.146496356E-1,1.153032017E1,-3.504432142E-1,1.154309438E1
5.789259584E-1,-1.219171137E-1,1.225541306E1,-2.349246144E-1,1.225827078E1
5.888889583E-1,-9.135837108E-2,1.289207840E1,-2.327957749E-1,1.289450370E1
5.988519583E-1,-1.904482096E-1,1.351047707E1,-3.516558707E-1,1.351639460E1
6.088149584E-1,-3.073835671E-1,1.413271427E1,-4.928494692E-1,1.414464556E1
6.187779583E-1,-1.130740121E-1,1.483421421E1,-2.409314662E-1,1.483660153E1
6.287409583E-1,-1.279853582E-1,1.553673363E1,-2.345207483E-1,1.553903060E1
6.387039584E-1,-1.724058241E-1,1.630998993E1,-3.599521816E-1,1.631487238E1
6.486669583E-1,-1.993238181E-1,1.695615387E1,-2.770200074E-1,1.695958797E1
6.586299583E-1,-2.092179954E-1,1.760530281E1,2.285618149E-2,1.760656076E1
6.685929584E-1,-1.848092526E-1,1.829805374E1,-4.473839700E-2,1.829904169E1
6.785559583E-1,-1.176424623E-1,1.889615059E1,-3.757741153E-1,1.890025272E1
6.885189583E-1,-2.230659574E-1,1.952835846E1,-3.403721452E-1,1.953259828E1
6.984819584E-1,-3.238556683E-1,2.019944000E1,-2.711520493E-1,2.020385563E1
