"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.076170833E-2,-1.068512909E-2,6.209089160E-1,6.240118667E-2,6.241281616E-1
3.072370833E-2,-1.386441011E-2,6.249537468E-1,5.782667547E-2,6.277764984E-1
4.068670833E-2,-1.893898472E-2,5.889706016E-1,3.057072870E-2,5.900674742E-1
5.064870833E-2,-7.799515501E-3,5.255237222E-1,-1.188139059E-2,5.257158762E-1
6.061170833E-2,1.669737138E-2,4.406143427E-1,-5.313266814E-2,4.441203459E-1
7.057470833E-2,2.586317249E-2,3.752864599E-1,-6.434564292E-2,3.816401348E-1
8.053670833E-2,1.862157322E-2,3.245534003E-1,-3.686986864E-2,3.271713004E-1
9.049970833E-2,5.128134973E-3,2.645063102E-1,-7.584149949E-3,2.646647034E-1
1.004617083E-1,-8.280224167E-3,1.798447967E-1,1.124199666E-2,1.803859626E-1
1.104247083E-1,-1.373943780E-2,5.767866597E-2,6.628869101E-3,5.966190212E-2
1.203871250E-1,4.284470342E-4,-8.737110347E-2,-3.483990207E-3,8.744158893E-2
1.303501250E-1,1.143183000E-2,-2.162310779E-1,-6.758080795E-3,2.166384948E-1
1.403121250E-1,5.581405014E-3,-2.984188199E-1,-9.173524566E-3,2.986119517E-1
1.502751250E-1,1.063608471E-2,-3.246701360E-1,-6.166814826E-3,3.249028364E-1
1.602371250E-1,1.608996466E-2,-3.272311091E-1,-8.494460955E-3,3.277365430E-1
1.702001250E-1,4.879438132E-2,-3.215109110E-1,-1.565448940E-3,3.251962610E-1
1.801621250E-1,9.019196033E-2,-3.234154284E-1,1.851712540E-2,3.362662828E-1
1.901251250E-1,1.106349155E-1,-3.209472299E-1,3.939764202E-2,3.417592473E-1
2.000871250E-1,1.011472046E-1,-3.417574167E-1,4.595204070E-2,3.593612096E-1
2.100501250E-1,7.148730755E-2,-3.735539615E-1,4.851799458E-2,3.834149099E-1
2.200121250E-1,3.639383987E-2,-4.071674049E-1,3.967757523E-2,4.107117203E-1
2.299751250E-1,5.488120951E-3,-4.253490865E-1,3.622372076E-2,4.269240246E-1
2.399371250E-1,-1.314660069E-3,-4.106060266E-1,3.498915583E-2,4.120962005E-1
2.499001250E-1,4.269456025E-3,-3.743833303E-1,3.221680596E-2,3.757912038E-1
2.598621250E-1,1.202338561E-2,-3.219565749E-1,2.954048291E-2,3.235324374E-1
2.698251250E-1,3.200322017E-2,-2.638945878E-1,2.997617610E-2,2.675128608E-1
2.797871250E-1,4.802339524E-2,-2.069818527E-1,2.825111151E-2,2.143498522E-1
2.897501250E-1,4.883246124E-2,-1.629347652E-1,1.365033165E-2,1.706419601E-1
2.997121250E-1,3.133689240E-2,-1.241187006E-1,-1.956306398E-3,1.280284336E-1
3.096751250E-1,9.376199916E-3,-7.612720877E-2,-6.585945375E-3,7.698467196E-2
3.196371250E-1,2.361084335E-4,-1.581798866E-2,-6.770838983E-3,1.720781140E-2
3.296001250E-1,3.675314598E-3,2.832257375E-2,-2.428821288E-3,2.866313476E-2
3.395641250E-1,-2.238193993E-4,6.180143729E-2,2.361672930E-3,6.184695017E-2
3.495261250E-1,-3.241913859E-3,7.317655534E-2,5.427524447E-4,7.325034359E-2
3.594891250E-1,-2.331112511E-3,8.261905611E-2,-3.724164329E-3,8.273579586E-2
3.694511250E-1,1.820276608E-3,8.870894462E-2,-7.732895203E-3,8.906395416E-2
3.794141250E-1,-1.936112065E-3,9.630401433E-2,-1.013506670E-2,9.685520782E-2
3.893761250E-1,-2.064997330E-3,9.533799440E-2,-6.341233850E-3,9.557096126E-2
3.993391250E-1,-6.256280467E-3,9.186763316E-2,-9.688028134E-3,9.258866538E-2
4.093011250E-1,-4.682623316E-3,8.500640839E-2,-1.796498522E-2,8.701009782E-2
4.192641250E-1,-7.572685834E-3,8.092244714E-2,-2.561331727E-2,8.521637192E-2
4.292271250E-1,-1.450695843E-2,6.446140260E-2,-2.829296887E-2,7.187639637E-2
4.391891250E-1,-1.820848510E-2,4.200056940E-2,-3.460386395E-2,5.738487745E-2
4.491521250E-1,-1.204659604E-2,3.197173402E-2,-3.431574628E-2,4.842398883E-2
4.591141250E-1,6.866907701E-3,4.324382916E-2,-2.368254215E-2,4.977997574E-2
4.690771250E-1,3.668859601E-3,5.792944506E-2,-1.524830610E-2,6.001493126E-2
4.790391250E-1,-1.887026709E-3,6.184615567E-2,-1.186848804E-2,6.300292731E-2
4.890021250E-1,1.899054623E-3,5.442595854E-2,-1.248124521E-2,5.587103770E-2
4.989641250E-1,1.876417780E-3,3.371615335E-2,-1.494679879E-2,3.692840011E-2
5.089271250E-1,5.823813379E-3,5.687349942E-3,-1.647121646E-2,1.837290731E-2
5.188891250E-1,7.572977804E-3,-8.377069607E-3,-2.135199308E-2,2.415435565E-2
5.288521250E-1,7.308992557E-3,-1.345460396E-2,-1.699374989E-2,2.287433661E-2
5.388141250E-1,6.117494777E-3,-1.715826243E-2,-9.063920937E-3,2.034660598E-2
5.487771250E-1,6.253381260E-3,-2.619015612E-2,1.876364462E-3,2.699166164E-2
5.587391250E-1,2.940142760E-3,-4.648663849E-2,1.210849546E-2,4.812761847E-2
5.687021250E-1,-2.955829725E-3,-6.872376800E-2,2.048626915E-2,7.177311781E-2
5.786641250E-1,-2.798703033E-3,-7.911355793E-2,2.085884288E-2,8.186500543E-2
5.886271250E-1,1.153223100E-3,-8.880843222E-2,7.187408395E-3,8.910626463E-2
5.985891250E-1,2.529811114E-3,-9.224390984E-2,-1.456502452E-2,9.342097615E-2
6.085521250E-1,7.201525848E-3,-9.313493222E-2,-2.573903836E-2,9.689414673E-2
6.185141250E-1,1.557450462E-2,-8.420828730E-2,-2.773215063E-2,9.001484890E-2
6.284771250E-1,1.606886089E-2,-5.645494536E-2,-1.559393574E-2,6.073335144E-2
