"t (s)","Inclination (deg)","Rotation (deg)"
5.098029583E-1,2.504054666E1,9.130678008E-1
1.017855958E0,2.502978427E1,9.211645104E-1
1.525908833E0,2.503477349E1,9.253305251E-1
2.033960833E0,2.502328294E1,9.196036107E-1
2.542012333E0,2.502726161E1,9.070160328E-1
3.050064333E0,2.502994852E1,9.153144423E-1
3.558116708E0,2.502997360E1,9.165287729E-1
4.066167708E0,2.504056860E1,9.069246518E-1
4.574218208E0,2.503210858E1,9.293399853E-1
5.082270208E0,2.503667883E1,9.122170314E-1
5.590321458E0,2.504464736E1,9.015398594E-1
6.098372458E0,2.503258684E1,9.125631665E-1
7.116354958E0,2.503334234E1,9.055643529E-1
7.626298958E0,2.503588381E1,9.252647274E-1
8.136256958E0,2.503434943E1,9.056941399E-1
8.646192375E0,2.503560493E1,9.363406072E-1
9.454454875E0,2.501262024E1,9.094606138E-1
9.962505292E0,2.501919382E1,9.228861853E-1
1.047055417E1,2.501653225E1,9.342032674E-1
1.097868517E1,2.502510373E1,9.200891917E-1
1.148859163E1,2.503234217E1,9.315665599E-1
1.199851063E1,2.502864369E1,9.110581770E-1
1.250842425E1,2.503550813E1,9.131592628E-1
1.301834325E1,2.503553415E1,9.331260796E-1
1.352827988E1,2.503506462E1,9.209993947E-1
1.403821688E1,2.503705323E1,9.257258845E-1
1.454812754E1,2.503266526E1,9.279678749E-1
1.505806954E1,2.503886409E1,9.202096797E-1
1.556798254E1,2.503622919E1,9.214897076E-1
1.607790454E1,2.503223453E1,9.231939524E-1
1.756357633E1,2.500427434E1,9.120919668E-1
1.807162425E1,2.500260367E1,9.232903758E-1
1.857967225E1,2.500953349E1,9.103495446E-1
1.908772058E1,2.500584753E1,9.349654670E-1
1.959576858E1,2.500829402E1,9.061862905E-1
2.010381633E1,2.500582798E1,9.149401192E-1
2.061186333E1,2.501829252E1,9.124838917E-1
2.111991150E1,2.501479755E1,8.956410717E-1
2.162795950E1,2.502073237E1,8.993388830E-1
2.213600613E1,2.501648704E1,9.161662407E-1
