"t (s)","Tilt up/down (deg)","Tilt left/right (deg)"
8.948736140E-1,1.974197647E1,-1.042791323E0
1.395210197E0,1.973403581E1,-1.045653418E0
1.895545572E0,1.974516692E1,-1.072977652E0
2.395880947E0,1.974829128E1,-1.053768275E0
2.896217058E0,1.974331791E1,-1.053151849E0
3.396552168E0,1.974378081E1,-1.072271725E0
3.896981121E0,1.974788812E1,-1.041890370E0
4.397320768E0,1.975167936E1,-1.038900022E0
4.897653050E0,1.975126278E1,-1.052646908E0
5.397986561E0,1.975388238E1,-1.037394937E0
5.898322003E0,1.976527613E1,-1.038335827E0
6.398656680E0,1.975177658E1,-1.045256135E0
6.898999454E0,1.975983209E1,-1.044496572E0
7.399329534E0,1.973722697E1,-1.076155227E0
7.399329534E0,1.973722697E1,-1.076155227E0
8.438773331E0,1.980135245E1,-1.227730312E0
8.939109242E0,1.982329796E1,-1.118886202E0
9.439443820E0,1.982207293E1,-1.097405720E0
9.939780524E0,1.982814685E1,-1.089376987E0
1.044011370E1,1.983213859E1,-1.068562178E0
1.094045794E1,1.984418586E1,-1.027181276E0
1.144083175E1,1.985710719E1,-1.001773098E0
1.194116709E1,1.984718352E1,-1.008576201E0
1.244150112E1,1.984470501E1,-1.021467412E0
1.294183650E1,1.983297222E1,-1.021213712E0
1.344217524E1,1.986129658E1,-1.015319287E0
1.394250755E1,1.984376133E1,-1.009979715E0
1.444284382E1,1.985550300E1,-1.009849960E0
1.494317896E1,1.985720774E1,-1.014527807E0
1.544352330E1,1.986042467E1,-1.003918580E0
1.594384981E1,1.985462710E1,-1.009151639E0
1.644418585E1,1.985877677E1,-9.982924248E-1
1.644418585E1,1.985877677E1,-9.982924248E-1
1.738214354E1,1.985475868E1,-5.415930920E-1
1.788247888E1,1.987409236E1,-5.474392903E-1
1.838282263E1,1.986840871E1,-5.502546012E-1
1.888314838E1,1.987232330E1,-5.490431941E-1
1.938349652E1,1.987635087E1,-5.556168508E-1
1.988390406E1,1.986970158E1,-5.572271982E-1
2.038424824E1,1.988305086E1,-5.970944128E-1
2.088457530E1,1.986748201E1,-5.952149384E-1
2.138491628E1,1.988007649E1,-6.006215559E-1
2.188525132E1,1.988421883E1,-5.975515207E-1
2.238558140E1,1.986262330E1,-6.278147155E-1
2.288591752E1,1.987048539E1,-6.248327404E-1
2.338625210E1,1.988916415E1,-6.052306180E-1
2.388658738E1,1.987797597E1,-6.105140346E-1
2.438692459E1,1.988031098E1,-6.145140297E-1
2.488725945E1,1.988795086E1,-5.965824701E-1
2.538759613E1,1.988187893E1,-5.979839683E-1
2.588793086E1,1.988222031E1,-6.035732890E-1
2.638826650E1,1.988777999E1,-5.938132554E-1
2.688860208E1,1.986861562E1,-6.065087166E-1
2.688860208E1,1.986861562E1,-6.065087166E-1
2.774877716E1,1.989651464E1,-3.438715105E-1
2.824911647E1,1.991661716E1,-3.496401459E-1
2.874945228E1,1.990102665E1,-3.078140131E-1
2.924978942E1,1.989509990E1,-3.130833290E-1
2.975012524E1,1.989978365E1,-3.206492986E-1
3.025092373E1,1.990068602E1,-3.442968369E-1
3.075126907E1,1.989662364E1,-3.357173665E-1
3.125160155E1,1.988630674E1,-3.557035842E-1
3.175193013E1,1.988920424E1,-3.414880996E-1
3.225226931E1,1.988345688E1,-3.355782459E-1
3.275260236E1,1.991495834E1,-3.121446207E-1
3.325293714E1,1.991039659E1,-2.899627815E-1
3.375327333E1,1.992758601E1,-2.199849327E-1
3.425361341E1,1.994651406E1,-2.070846975E-1
3.475394362E1,1.993448557E1,-2.071590418E-1
3.475394362E1,1.993448557E1,-2.071590418E-1
3.475394362E1,1.993448557E1,-2.071590418E-1
3.596944705E1,1.993005918E1,-2.209475971E-1
3.646978396E1,1.988094063E1,-1.861846749E-1
3.697012473E1,1.985481253E1,-1.986764668E-1
3.747046188E1,1.986348911E1,-1.758610447E-1
3.797078908E1,1.987829555E1,-9.224688297E-2
3.847113092E1,1.986927282E1,-9.344265033E-2
3.897195620E1,1.986386269E1,-9.919407333E-2
3.947229417E1,1.989524083E1,-7.848190810E-2
3.997261935E1,1.989871845E1,-6.150601526E-2
4.047295368E1,1.992052580E1,-6.871466859E-2
4.097328922E1,1.991971420E1,-5.622209336E-2
4.147362546E1,1.992809038E1,-5.912695816E-2
4.197397057E1,1.993036357E1,-6.316428775E-2
4.247429745E1,1.991914110E1,-5.899012381E-2
4.297463752E1,1.989903271E1,-7.056348054E-2
4.347496883E1,1.988261941E1,-9.704300832E-2
4.397530737E1,1.988544794E1,-6.058551602E-2
4.447563885E1,1.988784153E1,-5.254378296E-2
4.497598138E1,1.989624412E1,-7.288423964E-2
4.497598138E1,1.989624412E1,-7.288423964E-2
4.497598138E1,1.989624412E1,-7.288423964E-2
4.617858987E1,1.990513843E1,-5.255508591E-1
4.667892275E1,1.991945308E1,-4.472157859E-1
4.717925548E1,1.991207977E1,-4.571990072E-1
4.767959119E1,1.991584469E1,-4.535876092E-1
4.817992550E1,1.992192955E1,-4.435696674E-1
4.868026164E1,1.992776673E1,-4.534017482E-1
4.918109296E1,1.992444868E1,-4.344912004E-1
4.968143239E1,1.992701718E1,-4.476727071E-1
5.018177057E1,1.991671876E1,-4.343704259E-1
5.068209984E1,1.992366746E1,-4.395233419E-1
5.118243554E1,1.992190131E1,-4.353106549E-1
5.168277195E1,1.992287240E1,-4.225546517E-1
5.218311346E1,1.993780155E1,-4.317993508E-1
5.268344287E1,1.994057065E1,-4.429817011E-1
