"t (s)","Inclination (deg)","Rotation (deg)"
8.948736140E-1,1.976538818E1,-2.903526589E0
1.395210197E0,1.975758873E1,-2.912751281E0
1.895545572E0,1.976994752E1,-2.986923800E0
2.395880947E0,1.977218802E1,-2.933029274E0
2.896217058E0,1.976719471E1,-2.932115032E0
3.396552168E0,1.976853115E1,-2.985188465E0
3.896981121E0,1.977125011E1,-2.900082143E0
4.397320768E0,1.977490159E1,-2.891170318E0
4.897653050E0,1.977510395E1,-2.929435919E0
5.397986561E0,1.977703398E1,-2.886639595E0
5.898322003E0,1.978845193E1,-2.887451646E0
6.398656680E0,1.977528351E1,-2.908816969E0
6.898999454E0,1.978329216E1,-2.905424195E0
7.399329534E0,1.976216781E1,-2.997059148E0
7.399329534E0,1.976216781E1,-2.997059148E0
8.438773331E0,1.983366820E1,-3.406402403E0
8.939109242E0,1.985010179E1,-3.101227877E0
9.439443820E0,1.984786024E1,-3.041991920E0
9.939780524E0,1.985354806E1,-3.018771013E0
1.044011370E1,1.985657241E1,-2.960536038E0
1.094045794E1,1.986674662E1,-2.844183317E0
1.144083175E1,1.987854759E1,-2.771971971E0
1.194116709E1,1.986893045E1,-2.792282120E0
1.244150112E1,1.986701483E1,-2.828304359E0
1.294183650E1,1.985528856E1,-2.829414317E0
1.344217524E1,1.988331424E1,-2.808761476E0
1.394250755E1,1.986557381E1,-2.796684676E0
1.444284382E1,1.987729269E1,-2.794535018E0
1.494317896E1,1.987919714E1,-2.807200914E0
1.544352330E1,1.988195216E1,-2.777398000E0
1.594384981E1,1.987638796E1,-2.792738664E0
1.644418585E1,1.988006613E1,-2.762102171E0
1.644418585E1,1.988006613E1,-2.762102171E0
1.738214354E1,1.986102868E1,-1.499535797E0
1.788247888E1,1.988049012E1,-1.514117098E0
1.838282263E1,1.987487490E1,-1.522372679E0
1.888314838E1,1.987875936E1,-1.518697999E0
1.938349652E1,1.988294016E1,-1.536536019E0
1.988390406E1,1.987633208E1,-1.541546733E0
2.038424824E1,1.989065706E1,-1.650583908E0
2.088457530E1,1.987504832E1,-1.646789067E0
2.138491628E1,1.988777434E1,-1.660598854E0
2.188525132E1,1.989183608E1,-1.651741690E0
2.238558140E1,1.987104369E1,-1.737397180E0
2.288591752E1,1.987882159E1,-1.728407529E0
2.338625210E1,1.989697581E1,-1.672506606E0
2.388658738E1,1.988593055E1,-1.688129359E0
2.438692459E1,1.988836886E1,-1.698967697E0
2.488725945E1,1.989554152E1,-1.648728758E0
2.538759613E1,1.988950841E1,-1.653147439E0
2.588793086E1,1.988999288E1,-1.668560684E0
2.638826650E1,1.989530045E1,-1.641094630E0
2.688860208E1,1.987647113E1,-1.677916518E0
2.688860208E1,1.987647113E1,-1.677916518E0
2.774877716E1,1.989903542E1,-9.500394701E-1
2.824911647E1,1.991921970E1,-9.649164434E-1
2.874945228E1,1.990304591E1,-8.502249880E-1
2.924978942E1,1.989718972E1,-8.650571851E-1
2.975012524E1,1.990197499E1,-8.857330428E-1
3.025092373E1,1.990321233E1,-9.509980383E-1
3.075126907E1,1.989902628E1,-9.275093567E-1
3.125160155E1,1.988900581E1,-9.832706283E-1
3.175193013E1,1.989169142E1,-9.438319113E-1
3.225226931E1,1.988585965E1,-9.277911452E-1
3.275260236E1,1.991703287E1,-8.615307110E-1
3.325293714E1,1.991218732E1,-8.005141769E-1
3.375327333E1,1.992861553E1,-6.067689984E-1
3.425361341E1,1.994742522E1,-5.706009771E-1
3.475394362E1,1.993539813E1,-5.711796916E-1
3.475394362E1,1.993539813E1,-5.711796916E-1
3.475394362E1,1.993539813E1,-5.711796916E-1
3.596944705E1,1.993109757E1,-6.093419935E-1
3.646978396E1,1.988168042E1,-5.148525002E-1
3.697012473E1,1.985565639E1,-5.501783584E-1
3.747046188E1,1.986414990E1,-4.867695542E-1
3.797078908E1,1.987847719E1,-2.551296647E-1
3.847113092E1,1.986945930E1,-2.585641197E-1
3.897195620E1,1.986407292E1,-2.745597156E-1
3.947229417E1,1.989537215E1,-2.168592574E-1
3.997261935E1,1.989879909E1,-1.699199334E-1
4.047295368E1,1.992062630E1,-1.896093140E-1
4.097328922E1,1.991978148E1,-1.551446782E-1
4.147362546E1,1.992816475E1,-1.630861710E-1
4.197397057E1,1.993044843E1,-1.742004566E-1
4.247429745E1,1.991921517E1,-1.627880973E-1
4.297463752E1,1.989913884E1,-1.949390921E-1
4.347496883E1,1.988282036E1,-2.683309440E-1
4.397530737E1,1.988552625E1,-1.674981328E-1
4.447563885E1,1.988790042E1,-1.452466230E-1
4.497598138E1,1.989635737E1,-2.013810139E-1
4.497598138E1,1.989635737E1,-2.013810139E-1
4.497598138E1,1.989635737E1,-2.013810139E-1
4.617858987E1,1.991102259E1,-1.451141849E0
4.667892275E1,1.992370994E1,-1.233944894E0
4.717925548E1,1.991653098E1,-1.261989486E0
4.767959119E1,1.992022477E1,-1.251767051E0
4.817992550E1,1.992611659E1,-1.223722220E0
4.868026164E1,1.993213971E1,-1.250442052E0
4.918109296E1,1.992846542E1,-1.198518465E0
4.968143239E1,1.993128058E1,-1.234696530E0
5.018177057E1,1.992073535E1,-1.198689994E0
5.068209984E1,1.992777799E1,-1.212447337E0
5.118243554E1,1.992593391E1,-1.200944913E0
5.168277195E1,1.992667189E1,-1.165700268E0
5.218311346E1,1.994176513E1,-1.190229403E0
5.268344287E1,1.994474138E1,-1.220860877E0
