"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
3.067762360E-1,-6.339743137E-1,4.214786887E-1,5.459137559E-1,9.367974938E-1
3.087792360E-1,-6.168700457E-1,4.098722637E-1,5.593527555E-1,9.281160654E-1
3.107812360E-1,-6.040418744E-1,4.019309878E-1,5.642397404E-1,9.191200083E-1
3.127829020E-1,-5.893810987E-1,4.007093012E-1,5.807331204E-1,9.193416018E-1
3.147846520E-1,-5.887702703E-1,3.891028464E-1,5.868417621E-1,9.178424211E-1
3.167862520E-1,-5.643356442E-1,3.762746453E-1,5.996699333E-1,9.053515102E-1
3.187879180E-1,-5.539509058E-1,3.658899665E-1,6.100546122E-1,9.016117254E-1
3.207894890E-1,-5.472313762E-1,3.603921831E-1,6.137198210E-1,8.977732026E-1
3.227909890E-1,-5.325706005E-1,3.451205492E-1,6.131089330E-1,8.824070499E-1
3.247934330E-1,-5.215750933E-1,3.359575570E-1,6.192175746E-1,8.765491787E-1
3.267947330E-1,-5.136338472E-1,3.310706615E-1,6.241045594E-1,8.734609396E-1
3.287960050E-1,-5.105795264E-1,3.188533187E-1,6.204393506E-1,8.644673964E-1
3.307973380E-1,-5.014165044E-1,3.029708266E-1,6.259371042E-1,8.573255456E-1
3.327986450E-1,-4.983621836E-1,2.950296104E-1,6.241045594E-1,8.514187208E-1
3.347999300E-1,-4.953078628E-1,2.840340137E-1,6.265479922E-1,8.476836594E-1
3.368012630E-1,-4.953078628E-1,2.724275887E-1,6.314349174E-1,8.475002802E-1
3.388025750E-1,-4.977513552E-1,2.650972009E-1,6.289914846E-1,8.447859050E-1
3.408038690E-1,-4.977513552E-1,2.577668130E-1,6.338783503E-1,8.461689574E-1
3.428052020E-1,-5.056925416E-1,2.461603731E-1,6.351001263E-1,8.483348668E-1
3.448065170E-1,-5.148555040E-1,2.400517166E-1,6.351001263E-1,8.520875466E-1
3.468078170E-1,-5.179098248E-1,2.327213287E-1,6.424304843E-1,8.573836543E-1
3.488091500E-1,-5.276837349E-1,2.284452766E-1,6.381544471E-1,8.589985255E-1
3.508104680E-1,-5.417336226E-1,2.290561348E-1,6.460956931E-1,8.737171598E-1
3.528118150E-1,-5.551726818E-1,2.205040306E-1,6.485391259E-1,8.817265630E-1
3.548131480E-1,-5.710551739E-1,2.150062472E-1,6.540369391E-1,8.944808638E-1
3.568144680E-1,-5.857159495E-1,2.119519264E-1,6.558694839E-1,9.045173147E-1
3.588158140E-1,-6.022092700E-1,2.064541280E-1,6.625890732E-1,9.188599413E-1
3.608181470E-1,-6.150375009E-1,2.076758593E-1,6.699194312E-1,9.328410552E-1
3.628194680E-1,-6.339743137E-1,2.052323967E-1,6.723628640E-1,9.466338194E-1
3.648208120E-1,-6.541327834E-1,2.021780759E-1,6.754172444E-1,9.617453544E-1
3.668221450E-1,-6.681827307E-1,2.040106654E-1,6.833584309E-1,9.772754260E-1
3.688240450E-1,-6.877304316E-1,2.082867324E-1,6.906888485E-1,9.966983470E-1
3.708253780E-1,-6.999477744E-1,2.040106654E-1,6.967974901E-1,1.008500858E0
3.728267440E-1,-7.115541101E-1,2.064541280E-1,7.065713406E-1,1.023804482E0
3.748280770E-1,-7.298801541E-1,2.027889341E-1,7.077931166E-1,1.036735013E0
