"t (s)","Tilt up/down (deg)","Tilt left/right (deg)"
8.948736140E-1,9.290352658E1,9.104279132E1
1.395210197E0,9.291275128E1,9.104565341E1
1.895545572E0,9.298692379E1,9.107297765E1
2.395880947E0,9.293302927E1,9.105376827E1
2.896217058E0,9.293211503E1,9.105315184E1
3.396552168E0,9.298518846E1,9.107227172E1
3.896981121E0,9.290008214E1,9.104189037E1
4.397320768E0,9.289117031E1,9.103890002E1
4.897653050E0,9.292943591E1,9.105264690E1
5.397986561E0,9.288663959E1,9.103739493E1
5.898322003E0,9.288745164E1,9.103833582E1
6.398656680E0,9.290881696E1,9.104525613E1
6.898999454E0,9.290542419E1,9.104449657E1
7.399329534E0,9.299705914E1,9.107615522E1
7.399329534E0,9.299705914E1,9.107615522E1
8.438773331E0,9.340640240E1,9.122773031E1
8.939109242E0,9.310122787E1,9.111888620E1
9.439443820E0,9.304199192E1,9.109740572E1
9.939780524E0,9.301877101E1,9.108937698E1
1.044011370E1,9.296053603E1,9.106856217E1
1.094045794E1,9.284418331E1,9.102718127E1
1.144083175E1,9.277197197E1,9.100177309E1
1.194116709E1,9.279228212E1,9.100857620E1
1.244150112E1,9.282830435E1,9.102146741E1
1.294183650E1,9.282941431E1,9.102121371E1
1.344217524E1,9.280876147E1,9.101531928E1
1.394250755E1,9.279668467E1,9.100997971E1
1.444284382E1,9.279453501E1,9.100984995E1
1.494317896E1,9.280720091E1,9.101452780E1
1.544352330E1,9.277739799E1,9.100391858E1
1.594384981E1,9.279273866E1,9.100915163E1
1.644418585E1,9.276210217E1,9.099829242E1
1.644418585E1,9.276210217E1,9.099829242E1
1.738214354E1,9.149953579E1,9.054159309E1
1.788247888E1,9.151411709E1,9.054743929E1
1.838282263E1,9.152237267E1,9.055025460E1
1.888314838E1,9.151869799E1,9.054904319E1
1.938349652E1,9.153653601E1,9.055561685E1
1.988390406E1,9.154154673E1,9.055722719E1
2.038424824E1,9.165058390E1,9.059709441E1
2.088457530E1,9.164678906E1,9.059521493E1
2.138491628E1,9.166059885E1,9.060062155E1
2.188525132E1,9.165174169E1,9.059755152E1
2.238558140E1,9.173739718E1,9.062781471E1
2.288591752E1,9.172840752E1,9.062483274E1
2.338625210E1,9.167250660E1,9.060523061E1
2.388658738E1,9.168812935E1,9.061051403E1
2.438692459E1,9.169896769E1,9.061451402E1
2.488725945E1,9.164872875E1,9.059658247E1
2.538759613E1,9.165314743E1,9.059798396E1
2.588793086E1,9.166856068E1,9.060357328E1
2.638826650E1,9.164109462E1,9.059381325E1
2.688860208E1,9.167791651E1,9.060650871E1
2.688860208E1,9.167791651E1,9.060650871E1
2.774877716E1,9.095003947E1,9.034387151E1
2.824911647E1,9.096491644E1,9.034964014E1
2.874945228E1,9.085022498E1,9.030781401E1
2.924978942E1,9.086505718E1,9.031308332E1
2.975012524E1,9.088573304E1,9.032064929E1
3.025092373E1,9.095099803E1,9.034429683E1
3.075126907E1,9.092750935E1,9.033571736E1
3.125160155E1,9.098327062E1,9.035570358E1
3.175193013E1,9.094383191E1,9.034148809E1
3.225226931E1,9.092779114E1,9.033557824E1
3.275260236E1,9.086153071E1,9.031214462E1
3.325293714E1,9.080051417E1,9.028996278E1
3.375327333E1,9.060676899E1,9.021998493E1
3.425361341E1,9.057060097E1,9.020708469E1
3.475394362E1,9.057117969E1,9.020715904E1
3.475394362E1,9.057117969E1,9.020715904E1
3.475394362E1,9.057117969E1,9.020715904E1
3.596944705E1,9.060934199E1,9.022094759E1
3.646978396E1,9.051485250E1,9.018618467E1
3.697012473E1,9.055017835E1,9.019867646E1
3.747046188E1,9.048676955E1,9.017586104E1
3.797078908E1,9.025512966E1,9.009224688E1
3.847113092E1,9.025856411E1,9.009344265E1
3.897195620E1,9.027455971E1,9.009919407E1
3.947229417E1,9.021685925E1,9.007848190E1
3.997261935E1,9.016991993E1,9.006150601E1
4.047295368E1,9.018960931E1,9.006871466E1
4.097328922E1,9.015514467E1,9.005622209E1
4.147362546E1,9.016308617E1,9.005912695E1
4.197397057E1,9.017420045E1,9.006316428E1
4.247429745E1,9.016278809E1,9.005899012E1
4.297463752E1,9.019493909E1,9.007056348E1
4.347496883E1,9.026833094E1,9.009704300E1
4.397530737E1,9.016749813E1,9.006058551E1
4.447563885E1,9.014524662E1,9.005254378E1
4.497598138E1,9.020138101E1,9.007288423E1
4.497598138E1,9.020138101E1,9.007288423E1
4.497598138E1,9.020138101E1,9.007288423E1
4.617858987E1,9.145114184E1,9.052555085E1
4.667892275E1,9.123394489E1,9.044721578E1
4.717925548E1,9.126198948E1,9.045719900E1
4.767959119E1,9.125176705E1,9.045358760E1
4.817992550E1,9.122372221E1,9.044356966E1
4.868026164E1,9.125044205E1,9.045340174E1
4.918109296E1,9.119851846E1,9.043449120E1
4.968143239E1,9.123469653E1,9.044767270E1
5.018177057E1,9.119868999E1,9.043437042E1
5.068209984E1,9.121244733E1,9.043952334E1
5.118243554E1,9.120094491E1,9.043531065E1
5.168277195E1,9.116570026E1,9.042255465E1
5.218311346E1,9.119022940E1,9.043179935E1
5.268344287E1,9.122086087E1,9.044298170E1
