"t (s)","Tilt up/down (deg)","Tilt left/right (deg)"
8.862880710E-1,6.543297624E1,-1.614100548E0
1.386609954E0,6.541829485E1,-1.660854534E0
1.886944674E0,6.543149025E1,-1.612328857E0
2.387283285E0,6.541402351E1,-1.539703423E0
2.887616902E0,6.542203700E1,-1.650552082E0
3.387957652E0,6.543550582E1,-1.636514979E0
3.888032226E0,6.543772029E1,-1.675234330E0
4.388372576E0,6.542838924E1,-1.679767819E0
4.888705532E0,6.543488714E1,-1.646363054E0
5.389043477E0,6.543024681E1,-1.655493586E0
5.889375654E0,6.543167900E1,-1.630831443E0
6.389712036E0,6.541986406E1,-1.638139802E0
6.890049019E0,6.542982338E1,-1.673130984E0
7.390376872E0,6.541746526E1,-1.662356129E0
7.890712785E0,6.542777591E1,-1.667955038E0
8.391061159E0,6.542242266E1,-1.674539377E0
8.891384115E0,6.542556759E1,-1.649578358E0
9.391720066E0,6.542649994E1,-1.673050712E0
9.892057277E0,6.543362344E1,-1.665241136E0
1.039239222E1,6.539156493E1,-1.548912516E0
1.089272724E1,6.538601439E1,-1.575860929E0
1.089272724E1,6.538601439E1,-1.575860929E0
1.209740107E1,6.550854054E1,-1.065897685E0
1.259773128E1,6.548343125E1,-1.142227021E0
1.309806456E1,6.550618810E1,-1.100460638E0
1.359840350E1,6.548564966E1,-1.098402186E0
1.409874219E1,6.548925265E1,-1.086591618E0
1.459952505E1,6.548707588E1,-1.071451123E0
1.509986080E1,6.549078006E1,-1.038385341E0
1.560020001E1,6.549955123E1,-1.288573462E0
1.610053836E1,6.550796641E1,-1.263269736E0
1.660086697E1,6.548822041E1,-1.329914686E0
1.710121353E1,6.548986352E1,-1.350478776E0
1.760153831E1,6.549830416E1,-1.285462148E0
1.810187683E1,6.550916414E1,-1.301757567E0
1.860222191E1,6.550558624E1,-1.424877382E0
1.910254915E1,6.551149279E1,-1.399443902E0
1.960288760E1,6.550535409E1,-1.426174420E0
2.010322104E1,6.551105636E1,-1.482808626E0
2.060355492E1,6.549028704E1,-1.534763217E0
2.110389287E1,6.549296675E1,-1.474803864E0
2.160415186E1,6.550159969E1,-1.458628783E0
2.210448881E1,6.548919742E1,-1.482354466E0
2.260482232E1,6.548741239E1,-1.500742591E0
2.310516000E1,6.547893655E1,-1.492562084E0
2.310516000E1,6.547893655E1,-1.492562084E0
2.310516000E1,6.547893655E1,-1.492562084E0
2.419820140E1,6.547153126E1,-7.461748143E-1
2.469853676E1,6.547411032E1,-7.755005005E-1
2.519887399E1,6.548983568E1,-7.571887005E-1
2.569920889E1,6.549904897E1,-7.170162116E-1
2.619954662E1,6.548333578E1,-7.314816635E-1
2.669988152E1,6.548535254E1,-7.475115119E-1
2.720051134E1,6.548829782E1,-7.452277273E-1
2.770085571E1,6.548671721E1,-7.443479203E-1
2.820118280E1,6.550310775E1,-6.951996626E-1
2.870152060E1,6.550615022E1,-7.013046609E-1
2.920185519E1,6.550392997E1,-6.962659958E-1
2.970218956E1,6.550199561E1,-7.325124794E-1
3.020252676E1,6.548855868E1,-7.493682890E-1
3.070286402E1,6.549217002E1,-7.428049942E-1
3.120320229E1,6.549191852E1,-7.358503588E-1
3.170353205E1,6.549005954E1,-8.124175179E-1
3.220387352E1,6.548744100E1,-8.494350131E-1
3.270420262E1,6.548856057E1,-8.606851680E-1
3.320454136E1,6.548579132E1,-8.800174070E-1
3.370487749E1,6.548408469E1,-8.966371061E-1
3.420517602E1,6.549120174E1,-8.745289585E-1
3.470550936E1,6.549052460E1,-8.598768614E-1
3.520584729E1,6.549039905E1,-8.874817787E-1
3.570617349E1,6.549834912E1,-8.541527554E-1
3.620650909E1,6.548632439E1,-8.669564635E-1
3.620650909E1,6.548632439E1,-8.669564635E-1
3.620650909E1,6.548632439E1,-8.669564635E-1
3.745298190E1,6.547454937E1,-9.080188890E-1
3.795331211E1,6.548971364E1,-8.500092153E-1
3.845364793E1,6.550989359E1,-8.709953674E-1
3.895398244E1,6.547542312E1,-9.731716667E-1
3.945432589E1,6.547318540E1,-9.138027812E-1
3.995466694E1,6.548339720E1,-8.496008413E-1
4.045479162E1,6.548520171E1,-8.602714210E-1
4.095513337E1,6.547622544E1,-8.872081502E-1
4.145546221E1,6.547984704E1,-8.858573400E-1
4.195580092E1,6.547753386E1,-8.707255639E-1
4.245613440E1,6.547964970E1,-8.705501967E-1
4.295647851E1,6.548117231E1,-9.108914424E-1
4.345680402E1,6.547300765E1,-8.742885350E-1
4.395713991E1,6.547614926E1,-9.163150100E-1
4.445748169E1,6.547832031E1,-9.153078547E-1
4.495781191E1,6.548007449E1,-9.036439892E-1
4.545815111E1,6.548079129E1,-8.885072420E-1
4.595848720E1,6.547743049E1,-9.020708423E-1
4.645881814E1,6.547602226E1,-9.452199599E-1
4.695915434E1,6.547760134E1,-9.248239325E-1
4.745920110E1,6.549216701E1,-9.332623842E-1
