"t (s)","Tilt up/down (deg)","Tilt left/right (deg)"
5.351456220E-1,2.466695825E1,1.683591087E-1
1.035480726E0,2.467460866E1,1.787431361E-1
2.036154168E0,2.465834589E1,1.734620179E-1
2.536488105E0,2.463529299E1,1.716836384E-1
3.036823775E0,2.462990435E1,1.647927616E-1
3.537165219E0,2.463748496E1,1.601443404E-1
4.037506586E0,2.465148670E1,1.789072608E-1
4.537830253E0,2.465304553E1,9.005620622E-2
5.038166026E0,2.465224439E1,5.897902098E-2
5.538501438E0,2.464863008E1,5.480787015E-2
6.038837676E0,2.464433225E1,5.379470169E-2
6.539174022E0,2.464910650E1,5.866915129E-2
7.039509458E0,2.465112456E1,4.888717216E-2
7.539843561E0,2.466102142E1,5.533394989E-2
8.040770292E0,2.465688675E1,5.527338847E-2
8.040770292E0,2.465688675E1,5.527338847E-2
8.833469297E0,2.452700739E1,2.867938640E-1
9.333804625E0,2.459299255E1,3.340234552E-1
9.834139522E0,2.456993339E1,8.145175303E-1
1.033447539E1,2.452990682E1,1.402938322E0
1.083481628E1,2.455142849E1,1.641843788E0
1.133514724E1,2.454917497E1,1.612471128E0
1.183548180E1,2.455655918E1,1.529225614E0
1.233581770E1,2.452824881E1,1.484869847E0
1.283615270E1,2.451761166E1,1.482832115E0
1.333649160E1,2.451464974E1,1.476788005E0
1.383682560E1,2.452932298E1,1.499069666E0
1.433716193E1,2.452576921E1,1.495166670E0
1.483749519E1,2.451643094E1,1.492177457E0
1.533929670E1,2.452546629E1,1.502982554E0
1.583962790E1,2.451902316E1,1.500839895E0
1.643268706E1,2.464620580E1,5.898287760E-1
1.693302219E1,2.465513971E1,6.566149267E-1
1.743335792E1,2.466281146E1,5.104157784E-1
1.793370355E1,2.464661821E1,5.149649100E-1
1.843403798E1,2.466391115E1,5.275646117E-1
1.893436644E1,2.466900944E1,5.372564625E-1
1.943470084E1,2.466921874E1,5.331098351E-1
1.993503667E1,2.464053410E1,5.142000906E-1
2.043537894E1,2.460690710E1,4.757821417E-1
2.093570947E1,2.460454393E1,4.924960687E-1
2.143604360E1,2.462544801E1,5.059364508E-1
2.193638436E1,2.461454996E1,5.075539226E-1
2.243659327E1,2.461440412E1,5.002037061E-1
2.293692550E1,2.463557799E1,5.246617736E-1
2.343726240E1,2.464865964E1,5.263553643E-1
2.393759686E1,2.466270345E1,5.487994026E-1
2.443793252E1,2.464686406E1,5.352221808E-1
