"t (s)","Inclination (deg)","Rotation (deg)"
5.351456220E-1,2.466740304E1,3.665917389E-1
1.035480726E0,2.467510978E1,3.890648143E-1
2.036154168E0,2.465881831E1,3.778525050E-1
2.536488105E0,2.463575643E1,3.743759318E-1
3.036823775E0,2.463033147E1,3.594391125E-1
3.537165219E0,2.463788814E1,3.491784185E-1
4.037506586E0,2.465198946E1,3.898366745E-1
4.537830253E0,2.465317290E1,1.962190445E-1
5.038166026E0,2.465229902E1,1.285114584E-1
5.538501438E0,2.464867727E1,1.194426878E-1
6.038837676E0,2.464437773E1,1.172579001E-1
6.539174022E0,2.464916057E1,1.278547445E-1
7.039509458E0,2.465116210E1,1.065275111E-1
7.539843561E0,2.466106949E1,1.205203996E-1
8.040770292E0,2.465693472E1,1.204114083E-1
8.040770292E0,2.465693472E1,1.204114083E-1
8.833469297E0,2.452830933E1,6.285064527E-1
9.333804625E0,2.459475136E1,7.297751114E-1
9.834139522E0,2.458040516E1,1.781076070E0
1.033447539E1,2.456103922E1,3.071881559E0
1.083481628E1,2.459400091E1,3.590421655E0
1.133514724E1,2.459024463E1,3.526684331E0
1.183548180E1,2.459348363E1,3.343813738E0
1.233581770E1,2.456312486E1,3.251231604E0
1.283615270E1,2.455241509E1,3.248370635E0
1.333649160E1,2.454917655E1,3.235594472E0
1.383682560E1,2.456486645E1,3.282107022E0
1.433716193E1,2.456113576E1,3.274112914E0
1.483749519E1,2.455167673E1,3.268986028E0
1.533929670E1,2.456120399E1,3.291244386E0
1.583962790E1,2.455467336E1,3.287537274E0
1.643268706E1,2.465167161E1,1.285387432E0
1.693302219E1,2.466190946E1,1.430297952E0
1.743335792E1,2.466690043E1,1.111513416E0
1.793370355E1,2.465078457E1,1.122253991E0
1.843403798E1,2.466827917E1,1.148791892E0
1.893436644E1,2.467353799E1,1.169617301E0
1.943470084E1,2.467367760E1,1.160580797E0
1.993503667E1,2.464468966E1,1.120901503E0
2.043537894E1,2.461047237E1,1.038777479E0
2.093570947E1,2.460836463E1,1.075379553E0
2.143604360E1,2.462947486E1,1.103657731E0
2.193638436E1,2.461860533E1,1.107741478E0
2.243659327E1,2.461834294E1,1.091709984E0
2.293692550E1,2.463990568E1,1.143963163E0
2.343726240E1,2.465301178E1,1.146964038E0
2.393759686E1,2.466743051E1,1.195087481E0
2.443793252E1,2.465136456E1,1.166377659E0
