"t (s)","Tilt up/down (deg)","Tilt left/right (deg)"
5.351456220E-1,8.963340826E1,8.983164089E1
1.035480726E0,8.961093518E1,8.982125686E1
2.036154168E0,8.962214749E1,8.982653798E1
2.536488105E0,8.962562406E1,8.982831636E1
3.036823775E0,8.964056088E1,8.983520723E1
3.537165219E0,8.965082158E1,8.983985565E1
4.037506586E0,8.961016332E1,8.982109273E1
4.537830253E0,8.980378095E1,8.990994379E1
5.038166026E0,8.987148854E1,8.994102097E1
5.538501438E0,8.988055731E1,8.994519213E1
6.038837676E0,8.988274210E1,8.994620529E1
6.539174022E0,8.987214525E1,8.994133084E1
7.039509458E0,8.989347248E1,8.995111282E1
7.539843561E0,8.987947960E1,8.994466605E1
8.040770292E0,8.987958859E1,8.994472661E1
8.040770292E0,8.987958859E1,8.994472661E1
8.833469297E0,8.937149354E1,8.971320613E1
9.333804625E0,8.927022488E1,8.966597654E1
9.834139522E0,8.821892393E1,8.918548246E1
1.033447539E1,8.692811844E1,8.859706167E1
1.083481628E1,8.640957834E1,8.835815621E1
1.133514724E1,8.647331566E1,8.838752887E1
1.183548180E1,8.665618626E1,8.847077438E1
1.233581770E1,8.674876839E1,8.851513015E1
1.283615270E1,8.675162936E1,8.851716788E1
1.333649160E1,8.676440552E1,8.852321199E1
1.383682560E1,8.671789297E1,8.850093033E1
1.433716193E1,8.672588708E1,8.850483333E1
1.483749519E1,8.673101397E1,8.850782254E1
1.533929670E1,8.670875561E1,8.849701744E1
1.583962790E1,8.671246272E1,8.849916010E1
1.643268706E1,8.871461256E1,8.941017122E1
1.693302219E1,8.856970204E1,8.934338507E1
1.743335792E1,8.888848658E1,8.948958422E1
1.793370355E1,8.887774600E1,8.948503509E1
1.843403798E1,8.885120810E1,8.947243538E1
1.893436644E1,8.883038269E1,8.946274353E1
1.943470084E1,8.883941920E1,8.946689016E1
1.993503667E1,8.887909849E1,8.948579990E1
2.043537894E1,8.896122252E1,8.952421785E1
2.093570947E1,8.892462044E1,8.950750393E1
2.143604360E1,8.889634226E1,8.949406354E1
2.193638436E1,8.889225852E1,8.949244607E1
2.243659327E1,8.890829001E1,8.949979629E1
2.293692550E1,8.885603683E1,8.947533822E1
2.343726240E1,8.885303596E1,8.947364463E1
2.393759686E1,8.880491251E1,8.945120059E1
2.443793252E1,8.883362234E1,8.946477781E1
