"t (s)","Tilt up/down (deg)","Tilt left/right (deg)"
5.351456220E-1,6.533304175E1,3.665917389E-1
1.035480726E0,6.532539133E1,3.890648143E-1
2.036154168E0,6.534165410E1,3.778525050E-1
2.536488105E0,6.536470700E1,3.743759318E-1
3.036823775E0,6.537009565E1,3.594391125E-1
3.537165219E0,6.536251504E1,3.491784185E-1
4.037506586E0,6.534851329E1,3.898366745E-1
4.537830253E0,6.534695447E1,1.962190445E-1
5.038166026E0,6.534775561E1,1.285114584E-1
5.538501438E0,6.535136992E1,1.194426878E-1
6.038837676E0,6.535566774E1,1.172579001E-1
6.539174022E0,6.535089350E1,1.278547445E-1
7.039509458E0,6.534887543E1,1.065275111E-1
7.539843561E0,6.533897857E1,1.205203996E-1
8.040770292E0,6.534311325E1,1.204114083E-1
8.040770292E0,6.534311325E1,1.204114083E-1
8.833469297E0,6.547299260E1,6.285064527E-1
9.333804625E0,6.540700745E1,7.297751114E-1
9.834139522E0,6.543006661E1,1.781076070E0
1.033447539E1,6.547009317E1,3.071881559E0
1.083481628E1,6.544857150E1,3.590421655E0
1.133514724E1,6.545082503E1,3.526684331E0
1.183548180E1,6.544344082E1,3.343813738E0
1.233581770E1,6.547175118E1,3.251231604E0
1.283615270E1,6.548238833E1,3.248370635E0
1.333649160E1,6.548535025E1,3.235594472E0
1.383682560E1,6.547067702E1,3.282107022E0
1.433716193E1,6.547423078E1,3.274112914E0
1.483749519E1,6.548356906E1,3.268986028E0
1.533929670E1,6.547453371E1,3.291244386E0
1.583962790E1,6.548097684E1,3.287537274E0
1.643268706E1,6.535379420E1,1.285387432E0
1.693302219E1,6.534486028E1,1.430297952E0
1.743335792E1,6.533718854E1,1.111513416E0
1.793370355E1,6.535338178E1,1.122253991E0
1.843403798E1,6.533608885E1,1.148791892E0
1.893436644E1,6.533099055E1,1.169617301E0
1.943470084E1,6.533078125E1,1.160580797E0
1.993503667E1,6.535946590E1,1.120901503E0
2.043537894E1,6.539309290E1,1.038777479E0
2.093570947E1,6.539545607E1,1.075379553E0
2.143604360E1,6.537455199E1,1.103657731E0
2.193638436E1,6.538545004E1,1.107741478E0
2.243659327E1,6.538559587E1,1.091709984E0
2.293692550E1,6.536442201E1,1.143963163E0
2.343726240E1,6.535134036E1,1.146964038E0
2.393759686E1,6.533729654E1,1.195087481E0
2.443793252E1,6.535313593E1,1.166377659E0
