"t (s)","Tilt up/down (deg)","Tilt left/right (deg)"
8.376762980E-1,2.465698910E1,-6.432651028E-2
1.338012664E0,2.460835501E1,8.165715257E-1
1.838347227E0,2.482561610E1,-8.917247138E-1
2.338689030E0,2.471793473E1,-5.434733613E-1
2.839019830E0,2.472053084E1,-3.382352680E-1
3.339361127E0,2.471831581E1,-4.422333833E-1
3.840060262E0,2.470153688E1,-5.336261920E-1
4.340395523E0,2.470784770E1,-5.483107140E-1
4.840737620E0,2.471139230E1,-4.428784165E-1
5.341067648E0,2.470453917E1,3.073198884E-1
5.841405643E0,2.469481344E1,9.195537391E-3
6.341747675E0,2.469476249E1,-7.635844692E-3
6.842074241E0,2.470731850E1,3.548764910E-2
6.842074241E0,2.470731850E1,3.548764910E-2
7.876208137E0,2.457925718E1,1.607959842E-1
8.376542507E0,2.459196096E1,1.837174983E-1
8.876904313E0,2.458818404E1,2.452945872E-1
9.377214622E0,2.460369958E1,1.959548766E-1
9.877550092E0,2.457727689E1,3.874736369E-1
1.037789490E1,2.460029881E1,3.263077915E-1
1.087822784E1,2.457227005E1,3.744565581E-1
1.137856471E1,2.456606153E1,3.566989950E-1
1.137856471E1,2.456606153E1,3.566989950E-1
1.137856471E1,2.456606153E1,3.566989950E-1
1.263322847E1,2.464851001E1,3.704419538E-1
1.313356451E1,2.467268512E1,3.846432704E-1
1.363390075E1,2.466819331E1,4.417754889E-1
1.413423559E1,2.467225711E1,3.452097900E-1
1.463457143E1,2.466517751E1,3.645715037E-1
1.513490758E1,2.466924427E1,3.697142627E-1
1.563547026E1,2.467306429E1,3.601014281E-1
1.613580607E1,2.467476002E1,3.710413133E-1
1.663614184E1,2.466302147E1,3.752796083E-1
1.713648882E1,2.467217804E1,3.808609985E-1
1.763681303E1,2.466766317E1,3.991998568E-1
