"t (s)","Inclination (deg)","Rotation (deg)"
8.376762980E-1,2.465705408E1,-1.401326429E-1
1.338012664E0,2.461885458E1,1.782405494E0
1.838347227E0,2.483796931E1,-1.927034019E0
2.338689030E0,2.472255463E1,-1.180490578E0
2.839019830E0,2.472232007E1,-7.346509189E-1
3.339361127E0,2.472137482E1,-9.606043434E-1
3.840060262E0,2.470599543E1,-1.159979616E0
4.340395523E0,2.471255315E1,-1.191547591E0
4.840737620E0,2.471446156E1,-9.623113163E-1
5.341067648E0,2.470601775E1,6.679980871E-1
5.841405643E0,2.469481476E1,1.999729961E-2
6.341747675E0,2.469476340E1,-1.660551492E-2
6.842074241E0,2.470733821E1,7.712969356E-2
6.842074241E0,2.470733821E1,7.712969356E-2
7.876208137E0,2.457966512E1,3.515415966E-1
8.376542507E0,2.459249308E1,4.014174232E-1
8.876904313E0,2.458913284E1,5.360495304E-1
9.377214622E0,2.460430450E1,4.279232784E-1
9.877550092E0,2.457964591E1,8.471545474E-1
1.037789490E1,2.460197655E1,7.126791593E-1
1.087822784E1,2.457448327E1,8.188868784E-1
1.137856471E1,2.456807060E1,7.802808633E-1
1.137856471E1,2.456807060E1,7.802808633E-1
1.137856471E1,2.456807060E1,7.802808633E-1
1.263322847E1,2.465066580E1,8.072666635E-1
1.313356451E1,2.467500587E1,8.372786797E-1
1.363390075E1,2.467125550E1,9.618236993E-1
1.413423559E1,2.467412648E1,7.514641970E-1
1.463457143E1,2.466726336E1,7.938658336E-1
1.513490758E1,2.467138883E1,8.049125648E-1
1.563547026E1,2.467509831E1,7.838485784E-1
1.613580607E1,2.467691927E1,8.075964513E-1
1.663614184E1,2.466523194E1,8.172616860E-1
1.713648882E1,2.467445346E1,8.290658077E-1
1.763681303E1,2.467016367E1,8.691620053E-1
