"t (s)","Tilt up/down (deg)","Tilt left/right (deg)"
8.376762980E-1,9.014013264E1,9.006432651E1
1.338012664E0,8.821759450E1,8.918342847E1
1.838347227E0,9.192703401E1,9.089172471E1
2.338689030E0,9.118049057E1,9.054347336E1
2.839019830E0,9.073465091E1,9.033823526E1
3.339361127E0,9.096060434E1,9.044223338E1
3.840060262E0,9.115997961E1,9.053362619E1
4.340395523E0,9.119154759E1,9.054831071E1
4.840737620E0,9.096231131E1,9.044287841E1
5.341067648E0,8.933200191E1,8.969268011E1
5.841405643E0,8.998000270E1,8.999080446E1
6.341747675E0,9.001660551E1,9.000763584E1
6.842074241E0,8.992287030E1,8.996451235E1
6.842074241E0,8.992287030E1,8.996451235E1
7.876208137E0,8.964845840E1,8.983920401E1
8.376542507E0,8.959858257E1,8.981628250E1
8.876904313E0,8.946395046E1,8.975470541E1
9.377214622E0,8.957207672E1,8.980404512E1
9.877550092E0,8.915284545E1,8.961252636E1
1.037789490E1,8.928732084E1,8.967369220E1
1.087822784E1,8.918111312E1,8.962554344E1
1.137856471E1,8.921971913E1,8.964330100E1
1.137856471E1,8.921971913E1,8.964330100E1
1.137856471E1,8.921971913E1,8.964330100E1
1.263322847E1,8.919273333E1,8.962955804E1
1.313356451E1,8.916272132E1,8.961535672E1
1.363390075E1,8.903817630E1,8.955822451E1
1.413423559E1,8.924853580E1,8.965479021E1
1.463457143E1,8.920613416E1,8.963542849E1
1.513490758E1,8.919508743E1,8.963028573E1
1.563547026E1,8.921615142E1,8.963989857E1
1.613580607E1,8.919240354E1,8.962895868E1
1.663614184E1,8.918273831E1,8.962472039E1
1.713648882E1,8.917093419E1,8.961913900E1
1.763681303E1,8.913083799E1,8.960080014E1
