"t (s)","Tilt up/down (deg)","Tilt left/right (deg)"
8.376762980E-1,6.534301089E1,-1.401326429E-1
1.338012664E0,6.539164498E1,1.782405494E0
1.838347227E0,6.517438389E1,-1.927034019E0
2.338689030E0,6.528206527E1,-1.180490578E0
2.839019830E0,6.527946915E1,-7.346509189E-1
3.339361127E0,6.528168419E1,-9.606043434E-1
3.840060262E0,6.529846311E1,-1.159979616E0
4.340395523E0,6.529215229E1,-1.191547591E0
4.840737620E0,6.528860769E1,-9.623113163E-1
5.341067648E0,6.529546082E1,6.679980871E-1
5.841405643E0,6.530518656E1,1.999729961E-2
6.341747675E0,6.530523751E1,-1.660551492E-2
6.842074241E0,6.529268150E1,7.712969356E-2
6.842074241E0,6.529268150E1,7.712969356E-2
7.876208137E0,6.542074282E1,3.515415966E-1
8.376542507E0,6.540803903E1,4.014174232E-1
8.876904313E0,6.541181596E1,5.360495304E-1
9.377214622E0,6.539630042E1,4.279232784E-1
9.877550092E0,6.542272311E1,8.471545474E-1
1.037789490E1,6.539970118E1,7.126791593E-1
1.087822784E1,6.542772994E1,8.188868784E-1
1.137856471E1,6.543393847E1,7.802808633E-1
1.137856471E1,6.543393847E1,7.802808633E-1
1.137856471E1,6.543393847E1,7.802808633E-1
1.263322847E1,6.535148999E1,8.072666635E-1
1.313356451E1,6.532731488E1,8.372786797E-1
1.363390075E1,6.533180669E1,9.618236993E-1
1.413423559E1,6.532774288E1,7.514641970E-1
1.463457143E1,6.533482249E1,7.938658336E-1
1.513490758E1,6.533075573E1,8.049125648E-1
1.563547026E1,6.532693571E1,7.838485784E-1
1.613580607E1,6.532523997E1,8.075964513E-1
1.663614184E1,6.533697852E1,8.172616860E-1
1.713648882E1,6.532782195E1,8.290658077E-1
1.763681303E1,6.533233683E1,8.691620053E-1
