"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
3.425813260E-1,-2.966361586E-3,6.791477650E-2,-8.262563497E-3,6.847982275E-2
3.445813260E-1,-5.229006638E-4,7.829948515E-2,-1.131688990E-2,7.911482033E-2
3.465888260E-1,-2.966361586E-3,7.829948515E-2,-1.131688990E-2,7.916868492E-2
3.485901590E-1,-1.744631212E-3,8.135381341E-2,-3.986506723E-3,8.147011066E-2
3.505911590E-1,-5.229006638E-4,8.685160428E-2,-3.375641303E-3,8.691875256E-2
3.525925590E-1,-3.577226773E-3,8.868419379E-2,-3.986506723E-3,8.884579346E-2
3.545938920E-1,-6.631553173E-3,9.112765640E-2,-5.819102284E-3,9.155375039E-2
3.565951770E-1,-4.188092425E-3,9.662543982E-2,-5.208237097E-3,9.685629289E-2
3.585963020E-1,-4.798957147E-3,1.033449620E-1,-3.213151067E-4,1.034568239E-1
3.605976350E-1,-5.409822334E-3,1.027340963E-1,2.895501384E-4,1.028768418E-1
3.625988350E-1,-7.853283547E-3,1.106753498E-1,1.511280658E-3,1.109639180E-1
3.646001980E-1,-1.744631212E-3,1.100644767E-1,2.733011032E-3,1.101122251E-1
3.666015310E-1,-7.242418360E-3,1.149514019E-1,7.009068038E-3,1.153923935E-1
3.686027610E-1,-5.409822334E-3,1.186165959E-1,6.398202386E-3,1.189121524E-1
3.706039750E-1,-6.631553173E-3,1.192274541E-1,5.787337199E-3,1.195518991E-1
3.726051750E-1,-1.744631212E-3,1.222817823E-1,6.398202386E-3,1.224614838E-1
3.746064250E-1,-2.966361586E-3,1.216709241E-1,5.787337199E-3,1.218445992E-1
3.766072480E-1,-8.464148268E-3,1.271687150E-1,-3.986506723E-3,1.275124155E-1
3.786084700E-1,-5.409822334E-3,1.314447671E-1,-1.543045626E-3,1.315650940E-1
3.806097330E-1,-1.744631212E-3,1.344990879E-1,9.004153544E-4,1.345134162E-1
3.826109830E-1,-1.744631212E-3,1.369425505E-1,-5.819102284E-3,1.370772331E-1
3.846124590E-1,-1.133765909E-3,1.369425505E-1,-7.651698310E-3,1.371608401E-1
3.866133680E-1,-1.133765909E-3,1.387751400E-1,-2.764775883E-3,1.388073085E-1
3.886142810E-1,8.796459588E-5,1.436620653E-1,-1.131688990E-2,1.441071432E-1
3.906155310E-1,2.531425562E-3,1.467164010E-1,-6.429967470E-3,1.468790486E-1
3.926168110E-1,-6.020687986E-3,1.467164010E-1,-7.040833123E-3,1.470085859E-1
