"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.807471690E-1,-1.025374010E-1,-2.188241296E-2,8.642154932E-2,1.358728920E-1
2.827511690E-1,-7.504846156E-2,-3.837577999E-2,8.703241497E-2,1.211594541E-1
2.847526690E-1,-5.855510011E-2,-4.509529471E-2,8.397808671E-2,1.118686927E-1
2.867546690E-1,-3.167703003E-2,-5.303654075E-2,8.703241497E-2,1.067283943E-1
2.887566690E-1,-1.090760995E-2,-7.014077157E-2,7.542597502E-2,1.035750042E-1
2.907566690E-1,7.418347523E-3,-8.174720407E-2,6.320866942E-2,1.036000634E-1
2.927568350E-1,7.418347523E-3,-8.174720407E-2,6.320866942E-2,1.036000634E-1
2.947585490E-1,1.413786504E-2,-7.808201760E-2,5.893261358E-2,9.884196297E-2
2.967601740E-1,1.047267299E-2,-7.808201760E-2,4.427184537E-2,9.036854898E-2
2.987617290E-1,2.531425562E-3,-7.930374891E-2,2.900021710E-2,8.447783909E-2
3.007633290E-1,4.364021122E-3,-7.808201760E-2,1.922637410E-2,8.053259970E-2
3.027648740E-1,-1.884885877E-2,-7.930374891E-2,2.122145845E-3,8.154058849E-2
3.047662900E-1,-2.923356555E-2,-7.014077157E-2,-1.498208102E-2,7.745186856E-2
3.067678280E-1,-3.473135456E-2,-7.258422673E-2,-2.719938569E-2,8.493846915E-2
3.087693280E-1,-4.939211905E-2,-6.952990592E-2,-4.735793918E-2,9.755390123E-2
3.107707280E-1,-6.038769707E-2,-6.464298069E-2,-6.995995343E-2,1.127820198E-1
3.127721030E-1,-6.893981248E-2,-6.219952181E-2,-7.973379642E-2,1.223885475E-1
3.147734550E-1,-7.871365547E-2,-5.486913770E-2,-9.134023637E-2,1.324745282E-1
3.167748430E-1,-8.604403585E-2,-4.937135056E-2,-1.139422506E-1,1.510759506E-1
3.187762110E-1,-8.482230455E-2,-4.326269776E-2,-1.224943623E-1,1.551494543E-1
3.207772110E-1,-8.726575971E-2,-4.020837322E-2,-1.377659887E-1,1.679627749E-1
3.227785910E-1,-9.703961015E-2,-3.654318303E-2,-1.634223312E-1,1.935431438E-1
3.247799540E-1,-9.887220711E-2,-2.860193327E-2,-1.744179130E-1,2.025225723E-1
3.267813010E-1,-9.765047580E-2,-2.799106762E-2,-1.872460842E-1,2.130263161E-1
3.287826760E-1,-1.031482592E-1,-2.371500991E-2,-2.025177181E-1,2.285068734E-1
3.307840360E-1,-1.104786471E-1,-1.699549332E-2,-2.165676057E-1,2.437127533E-1
3.327853820E-1,-1.159764305E-1,-1.271943562E-2,-2.373370379E-1,2.644639598E-1
3.347867520E-1,-1.153655723E-1,-7.832514122E-3,-2.428348213E-1,2.689596884E-1
3.367881090E-1,-1.171981692E-1,-2.945592161E-3,-2.617716491E-1,2.868248310E-1
3.387894530E-1,-1.178090274E-1,-4.778187722E-3,-2.807084620E-1,3.044651682E-1
3.407908190E-1,-1.220850796E-1,1.087340133E-4,-2.892605960E-1,3.139689012E-1
3.427920850E-1,-1.196416244E-1,4.995656200E-3,-3.014778793E-1,3.243886351E-1
3.447931850E-1,-1.294154674E-1,3.163060173E-3,-3.167495131E-1,3.421821477E-1
3.467944850E-1,-1.269720048E-1,3.773925593E-3,-3.234690130E-1,3.475173879E-1
3.487955850E-1,-1.220850796E-1,8.049981669E-3,-3.362972140E-1,3.578622431E-1
3.507971510E-1,-1.257502735E-1,8.660847321E-3,-3.479036391E-1,3.700338953E-1
3.527987510E-1,-1.263611317E-1,1.171517372E-2,-3.503471017E-1,3.726224263E-1
3.548000170E-1,-1.263611317E-1,2.209988236E-2,-3.570666313E-1,3.794102260E-1
3.568012830E-1,-1.318589300E-1,2.576507442E-2,-3.607318103E-1,3.849390282E-1
3.588025830E-1,-1.306371987E-1,3.065199591E-2,-3.601209521E-1,3.843081091E-1
3.608038490E-1,-1.324697882E-1,3.553891927E-2,-3.485144973E-1,3.745311928E-1
3.628051490E-1,-1.330806613E-1,3.676064685E-2,-3.503471017E-1,3.765699128E-1
3.648064820E-1,-1.355241239E-1,4.225843400E-2,-3.326320052E-1,3.616581456E-1
3.668077480E-1,-1.294154674E-1,4.409103096E-2,-3.026996255E-1,3.321437121E-1
3.688090480E-1,-1.306371987E-1,4.775622115E-2,-2.923149168E-1,3.237201646E-1
3.708103810E-1,-1.288045943E-1,4.836708680E-2,-2.672694325E-1,3.006043050E-1
3.728117140E-1,-1.190307587E-1,5.142141506E-2,-2.245088667E-1,2.592618650E-1
3.748130800E-1,-1.141438335E-1,5.386487395E-2,-2.019068450E-1,2.381105067E-1
3.768144130E-1,-9.581787884E-2,5.386487395E-2,-1.579245478E-1,1.924127162E-1
3.788157460E-1,-8.543317020E-2,5.691920221E-2,-1.157748476E-1,1.547334401E-1
3.808173460E-1,-7.260500640E-2,5.630833656E-2,-9.744889289E-2,1.339343214E-1
3.828186790E-1,-5.488990620E-2,5.875179544E-2,-5.224486068E-2,9.588639495E-2
3.848200120E-1,-3.289875761E-2,6.180612743E-2,-5.819102284E-3,7.025800731E-2
3.868213780E-1,-2.251404896E-2,6.241698936E-2,1.372858509E-2,6.775866741E-2
3.888227110E-1,2.531425562E-3,6.302785128E-2,4.732617736E-2,7.885864072E-2
3.908240440E-1,1.963565312E-2,6.974737346E-2,8.519981802E-2,1.118448209E-1
3.928254100E-1,2.330084331E-2,7.035823911E-2,1.016931832E-1,1.258360625E-1
3.948267430E-1,3.429641575E-2,7.280169427E-2,1.261277944E-1,1.496146762E-1
3.968280760E-1,3.490728512E-2,7.646688819E-2,1.450646073E-1,1.676587123E-1
3.988294420E-1,3.490728512E-2,6.852564216E-2,1.640014350E-1,1.811373868E-1
4.008305420E-1,3.124209121E-2,7.035823911E-2,1.749970019E-1,1.911813295E-1
4.028318750E-1,2.391170897E-2,6.730391085E-2,1.737752855E-1,1.878814416E-1
4.048334750E-1,2.818776481E-2,6.241698936E-2,1.872143149E-1,1.993480132E-1
4.068348080E-1,3.246382251E-2,6.119525805E-2,1.933229715E-1,2.053595157E-1
4.088363080E-1,3.246382251E-2,5.386487395E-2,1.859925836E-1,1.963378863E-1
4.108376740E-1,4.223766550E-2,4.714535922E-2,1.817165166E-1,1.924255640E-1
4.128390070E-1,4.956804961E-2,3.859324381E-2,1.688883454E-1,1.801935160E-1
4.148403400E-1,5.384410545E-2,3.981497511E-2,1.621688455E-1,1.754512878E-1
4.168417060E-1,5.567670241E-2,2.576507442E-2,1.413994282E-1,1.541347870E-1
4.188430390E-1,6.667228043E-2,2.454334497E-2,1.139104813E-1,1.342503874E-1
4.208443720E-1,6.911573559E-2,1.904555783E-2,1.029149070E-1,1.254240658E-1
4.228504050E-1,6.361795217E-2,1.232603937E-2,7.481510937E-2,9.897714724E-2
4.248520380E-1,6.361795217E-2,1.232603937E-2,4.732617736E-2,8.024301931E-2
4.268538710E-1,6.789400429E-2,1.293690410E-2,2.961108275E-2,7.519159213E-2
4.288549710E-1,5.628756806E-2,1.660209708E-2,-3.375641303E-3,5.878192664E-2
4.308563710E-1,4.712458700E-2,1.904555783E-2,-1.437121537E-2,5.282037300E-2
4.328577710E-1,3.857247531E-2,1.782382652E-2,-4.796880484E-2,6.408221970E-2
4.348591710E-1,2.268997952E-2,2.698680572E-2,-7.179255038E-2,7.998308036E-2
4.368605710E-1,1.047267299E-2,2.759766951E-2,-8.034466207E-2,8.559540271E-2
4.388619710E-1,3.753156168E-3,3.920410946E-2,-1.041684002E-1,1.113647340E-1
4.408633710E-1,-3.577226773E-3,4.286929965E-2,-1.145531163E-1,1.223641690E-1
4.428647040E-1,-1.133765909E-3,5.019968376E-2,-1.200508997E-1,1.301288292E-1
