"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
3.285239800E-1,2.574430406E-2,9.296025336E-2,5.176472012E-3,9.659800080E-2
3.305269800E-1,2.452257276E-2,9.296025336E-2,3.954741638E-3,9.622164653E-2
3.325284800E-1,1.902478747E-2,8.562986553E-2,9.452529252E-3,8.822565793E-2
3.345304800E-1,1.352700032E-2,8.379726857E-2,1.433945075E-2,8.608473619E-2
3.365319800E-1,3.753156168E-3,8.135381341E-2,2.105896734E-2,8.411901832E-2
3.385337800E-1,-4.188092425E-3,7.707775384E-2,2.044810355E-2,7.985389905E-2
3.405354460E-1,-2.966361586E-3,7.646688819E-2,2.044810355E-2,7.920927489E-2
3.425370170E-1,-2.966361586E-3,7.341256738E-2,1.861550659E-2,7.579407256E-2
3.445571420E-1,6.988298264E-4,6.669304520E-2,1.495031640E-2,6.835175639E-2
3.465586970E-1,6.988298264E-4,6.486044824E-2,1.128512435E-2,6.583859158E-2
3.485601970E-1,9.250943549E-3,5.997353047E-2,8.841663599E-3,6.132356259E-2
3.505617420E-1,1.719219238E-2,5.203228071E-2,1.511280658E-3,5.481982930E-2
3.525632420E-1,1.963565312E-2,5.508660525E-2,3.343876451E-3,5.857708137E-2
3.545646260E-1,2.391170897E-2,5.325400829E-2,-5.208237097E-3,5.860789161E-2
3.565659830E-1,2.879863232E-2,4.714535922E-2,-9.484293871E-3,5.605352754E-2
3.585673160E-1,3.124209121E-2,4.592362419E-2,-8.262563497E-3,5.615440746E-2
3.605686910E-1,3.429641575E-2,4.164757207E-2,-6.429967470E-3,5.433331275E-2
3.625700430E-1,3.551815078E-2,3.737151250E-2,-5.208237097E-3,5.181982936E-2
3.645713760E-1,3.857247531E-2,2.820853703E-2,-2.764775883E-3,4.786649558E-2
3.665727440E-1,3.979420289E-2,9.882577695E-3,2.895501384E-4,4.100399694E-2
3.685740940E-1,3.796160966E-2,9.271712042E-3,8.230798878E-3,3.993487827E-2
3.705754270E-1,3.979420289E-2,-4.167322535E-3,1.495031640E-2,4.271366434E-2
3.725767900E-1,3.979420289E-2,-9.665109217E-3,1.495031640E-2,4.359478043E-2
3.745781370E-1,4.101593792E-2,-1.943895407E-2,1.311772037E-2,4.724674261E-2
3.765795530E-1,4.407026246E-2,-2.921279706E-2,1.250685472E-2,5.433228286E-2
3.785809930E-1,5.384410545E-2,-4.387356341E-2,1.678291149E-2,7.145448465E-2
3.805820310E-1,6.300708652E-2,-4.692789167E-2,1.739377715E-2,8.046529346E-2
3.825834380E-1,7.400266081E-2,-6.586471200E-2,1.006339397E-2,9.957824056E-2
3.845848660E-1,8.683082461E-2,-7.258422673E-2,5.787337199E-3,1.133205866E-1
3.865862790E-1,9.171774983E-2,-8.602326363E-2,-9.321803227E-4,1.257498170E-1
3.885876790E-1,1.076002494E-1,-9.396451712E-2,-1.543045626E-3,1.428619093E-1
3.905889790E-1,1.155414954E-1,-1.025166214E-1,-7.651698310E-3,1.546545935E-1
3.925903790E-1,1.210392863E-1,-1.116796061E-1,-1.070602424E-2,1.650377599E-1
3.945917120E-1,1.277588010E-1,-1.287838221E-1,-2.047986723E-2,1.825568652E-1
3.965931120E-1,1.302022487E-1,-1.342816204E-1,-2.170159854E-2,1.882953492E-1
3.985944450E-1,1.320348531E-1,-1.483315229E-1,-2.719938569E-2,2.004376454E-1
4.005957780E-1,1.369217783E-1,-1.611596793E-1,-2.903198265E-2,2.134546126E-1
4.025973780E-1,1.363109201E-1,-1.660466194E-1,-2.781025134E-2,2.166230755E-1
4.045937110E-1,1.387543827E-1,-1.825399846E-1,-2.109073289E-2,2.302573424E-1
4.065950110E-1,1.320348531E-1,-1.959789991E-1,-3.025371209E-2,2.382357186E-1
4.085963110E-1,1.308131218E-1,-2.020876557E-1,-3.025371209E-2,2.426247731E-1
4.105976440E-1,1.240936145E-1,-2.088071704E-1,-2.536679059E-2,2.442194375E-1
4.125989440E-1,1.137088984E-1,-2.246896774E-1,-2.414505929E-2,2.529785536E-1
4.146003440E-1,1.112654433E-1,-2.320200652E-1,-2.781025134E-2,2.588179275E-1
4.166017440E-1,1.008807272E-1,-2.369069755E-1,-2.353419550E-2,2.585646815E-1
4.186028100E-1,8.316563070E-2,-2.436264902E-1,-2.109073289E-2,2.582928723E-1
4.206042100E-1,7.400266081E-2,-2.497351468E-1,-2.353419550E-2,2.615299136E-1
4.226056100E-1,6.667228043E-2,-2.601198852E-1,-2.475592494E-2,2.696672088E-1
4.246067100E-1,5.445497110E-2,-2.607307136E-1,-2.536679059E-2,2.675618115E-1
4.266080430E-1,3.918334097E-2,-2.674502432E-1,-2.719938569E-2,2.716703396E-1
4.286094430E-1,1.963565312E-2,-2.747806311E-1,-3.514063358E-2,2.777135542E-1
4.306108430E-1,1.535959542E-2,-2.851653397E-1,-3.025371209E-2,2.871767317E-1
4.326122430E-1,7.418347523E-3,-2.937174439E-1,-3.575149924E-2,2.959782736E-1
4.346136430E-1,-4.188092425E-3,-3.059347570E-1,-4.369274899E-2,3.090674230E-1
4.366149760E-1,-1.744631212E-3,-3.120433986E-1,-4.308188334E-2,3.150082142E-1
4.386163090E-1,6.196617149E-3,-3.242607117E-1,-4.247101769E-2,3.270889704E-1
4.406179750E-1,9.250943549E-3,-3.322019577E-1,-4.552534595E-2,3.354344612E-1
4.426193410E-1,9.250943549E-3,-3.352562785E-1,-4.735793918E-2,3.387109780E-1
4.446236410E-1,1.230526902E-2,-3.401432335E-1,-4.735793918E-2,3.436446033E-1
4.466249740E-1,1.169440430E-2,-3.493061960E-1,-4.796880484E-2,3.527783778E-1
4.486263400E-1,1.169440430E-2,-3.541931212E-1,-4.735793918E-2,3.575364325E-1
4.506277400E-1,9.250943549E-3,-3.517496288E-1,-5.041226745E-2,3.554641726E-1
4.526290730E-1,7.418347523E-3,-3.560256958E-1,-5.407745764E-2,3.601856457E-1
4.546304390E-1,1.047267299E-2,-3.529713750E-1,-4.919053614E-2,3.565363618E-1
4.566317720E-1,8.640077896E-3,-3.517496288E-1,-4.674707353E-2,3.549475189E-1
4.586331050E-1,6.196617149E-3,-3.511388004E-1,-4.491447657E-2,3.540539018E-1
4.606344050E-1,8.029213175E-3,-3.566365540E-1,-4.430361092E-2,3.594675366E-1
4.626355050E-1,8.029213175E-3,-3.468627334E-1,-3.514063358E-2,3.487306815E-1
4.646376050E-1,6.196617149E-3,-3.425866663E-1,-4.002755880E-2,3.449727924E-1
4.666390050E-1,1.920560375E-3,-3.395323455E-1,-3.452977166E-2,3.412890378E-1
4.686451050E-1,1.309695072E-3,-3.218172491E-1,-3.330803663E-2,3.235389967E-1
4.706465380E-1,3.142290749E-3,-3.205955327E-1,-2.903198265E-2,3.219227012E-1
4.726479380E-1,4.974886309E-3,-3.071565032E-1,-2.475592494E-2,3.081926715E-1
4.746491380E-1,-3.577226773E-3,-2.967717946E-1,-2.658852004E-2,2.979819525E-1
4.766504710E-1,8.796459588E-5,-2.894414067E-1,-2.536679059E-2,2.905508729E-1
4.786521710E-1,1.920560375E-3,-2.760023475E-1,-2.292332798E-2,2.769593171E-1
4.806535040E-1,8.796459588E-5,-2.637850642E-1,-2.414505929E-2,2.648878097E-1
4.826548370E-1,-1.744631212E-3,-2.534003556E-1,-2.292332798E-2,2.544410794E-1
4.846565030E-1,6.196617149E-3,-2.399612963E-1,-2.047986723E-2,2.409133594E-1
4.866579030E-1,6.988298264E-4,-2.259114087E-1,-2.536679059E-2,2.273321952E-1
4.886592360E-1,1.309695072E-3,-2.204136252E-1,-2.109073289E-2,2.214242546E-1
4.906606020E-1,6.807482336E-3,-2.026985288E-1,-2.597765625E-2,2.044697386E-1
