"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
3.017411720E-1,-1.391893178E-1,-1.300055683E-1,-2.475592494E-2,1.920624112E-1
3.037441720E-1,-1.391893178E-1,-1.324490160E-1,-2.536679059E-2,1.938037205E-1
3.057456720E-1,-1.404110342E-1,-1.336707622E-1,-1.986900344E-2,1.948792151E-1
3.077473380E-1,-1.422436386E-1,-1.361142099E-1,-2.414505929E-2,1.983514929E-1
3.097488380E-1,-1.428545117E-1,-1.416119933E-1,-1.498208102E-2,2.017072902E-1
3.117504380E-1,-1.373567134E-1,-1.330598891E-1,9.004153544E-4,1.912396704E-1
3.137519380E-1,-1.404110342E-1,-1.312272996E-1,-9.321803227E-4,1.921893120E-1
3.157535090E-1,-1.398001760E-1,-1.287838221E-1,5.787337199E-3,1.901653368E-1
3.177548840E-1,-1.611804664E-1,-1.110687405E-1,9.452529252E-3,1.959713198E-1
3.197563280E-1,-1.953889132E-1,-8.968845010E-2,7.009068038E-3,2.151045618E-1
3.217577280E-1,-2.082170844E-1,-9.091018885E-2,7.009068038E-3,2.273062773E-1
3.237590910E-1,-2.259321809E-1,-8.419066668E-2,3.343876451E-3,2.411319146E-1
3.257604240E-1,-2.412038147E-1,-9.091018885E-2,-1.192775462E-2,2.580430468E-1
3.277618080E-1,-2.491450459E-1,-9.213192016E-2,-1.620381139E-2,2.661279920E-1
3.297631650E-1,-2.619732320E-1,-1.043492183E-1,-2.353419550E-2,2.829710092E-1
3.317645650E-1,-2.699144483E-1,-1.043492183E-1,-2.781025134E-2,2.907163202E-1
3.337659400E-1,-2.735796571E-1,-1.080144122E-1,-3.636236489E-2,2.963699776E-1
3.357672920E-1,-2.876295745E-1,-1.226751804E-1,-5.346659198E-2,3.172359508E-1
3.377686800E-1,-2.912947834E-1,-1.293946952E-1,-5.468831956E-2,3.233982842E-1
3.397700480E-1,-3.114533126E-1,-1.324490160E-1,-6.385129690E-2,3.444167474E-1
3.417713980E-1,-3.285575211E-1,-1.458880603E-1,-7.240340859E-2,3.667091823E-1
3.437727780E-1,-3.346661925E-1,-1.507749856E-1,-7.545774430E-2,3.747378122E-1
3.457741410E-1,-3.499378264E-1,-1.617705524E-1,-8.278812468E-2,3.943096088E-1
3.477754880E-1,-3.731507063E-1,-1.672683358E-1,-9.256196767E-2,4.192706329E-1
3.497764880E-1,-3.914766610E-1,-1.733769923E-1,-9.134023637E-2,4.377860166E-1
3.517778480E-1,-4.043048322E-1,-1.648248732E-1,-8.645331860E-2,4.450885445E-1
3.537791940E-1,-4.293503165E-1,-1.703226566E-1,-9.439456463E-2,4.714465351E-1
3.557805640E-1,-4.379023910E-1,-1.733769923E-1,-9.561629593E-2,4.805835635E-1
3.577819210E-1,-4.611153007E-1,-1.764313132E-1,-9.928148985E-2,5.035991888E-1
3.597832650E-1,-4.757760763E-1,-1.788747907E-1,-1.017249450E-1,5.183695882E-1
3.617843650E-1,-4.861607552E-1,-1.782639176E-1,-1.017249450E-1,5.277104022E-1
3.637856650E-1,-5.063193440E-1,-1.764313132E-1,-1.017249450E-1,5.457428432E-1
3.657869980E-1,-5.105953813E-1,-1.764313132E-1,-1.023358107E-1,5.498256722E-1
3.677883310E-1,-5.258669853E-1,-1.709335297E-1,-1.029466763E-1,5.624521100E-1
3.697896640E-1,-5.454146862E-1,-1.629922837E-1,-1.139422506E-1,5.805398358E-1
3.717909640E-1,-5.509124994E-1,-1.568836421E-1,-1.072227359E-1,5.827639095E-1
3.737922970E-1,-5.545777082E-1,-1.501641273E-1,-1.072227359E-1,5.844676336E-1
3.757935970E-1,-5.612971783E-1,-1.464989334E-1,-1.145531163E-1,5.913026943E-1
3.777949300E-1,-5.667949915E-1,-1.373359561E-1,-1.145531163E-1,5.943400909E-1
3.797959960E-1,-5.649623871E-1,-1.269512475E-1,-1.151639819E-1,5.903912777E-1
3.817973290E-1,-5.741253495E-1,-1.177882627E-1,-1.231052354E-1,5.988730172E-1
3.838011290E-1,-5.698493123E-1,-1.141230687E-1,-1.279921532E-1,5.950918457E-1
3.858024950E-1,-5.716818571E-1,-1.006840318E-1,-1.310464740E-1,5.950887315E-1
3.878038280E-1,-5.698493123E-1,-9.213192016E-2,-1.316573471E-1,5.920727882E-1
3.898051610E-1,-5.661841631E-1,-8.419066668E-2,-1.353225410E-1,5.881876954E-1
3.918064940E-1,-5.637406707E-1,-7.441682369E-2,-1.371551305E-1,5.849384047E-1
3.938078270E-1,-5.606863499E-1,-6.708644331E-2,-1.341007948E-1,5.803902110E-1
3.958091600E-1,-5.637406707E-1,-6.342125684E-2,-1.383768618E-1,5.839297522E-1
3.978104930E-1,-5.551885366E-1,-4.876048490E-2,-1.438746452E-1,5.755969159E-1
3.998118260E-1,-5.503016114E-1,-4.265183210E-2,-1.450963765E-1,5.707048281E-1
4.018131920E-1,-5.454146862E-1,-3.104539216E-2,-1.457072496E-1,5.653950821E-1
4.038145250E-1,-5.338082910E-1,-1.760635711E-2,-1.322682053E-1,5.502328175E-1
4.058158580E-1,-5.258669853E-1,-1.271943562E-2,-1.316573471E-1,5.422467403E-1
4.078172240E-1,-5.258669853E-1,4.995656200E-3,-1.328790784E-1,5.424185582E-1
4.098188570E-1,-5.057084560E-1,2.087815292E-2,-1.188291684E-1,5.199012512E-1
4.118201900E-1,-5.057084560E-1,3.004113212E-2,-1.127205193E-1,5.189888511E-1
4.138215560E-1,-4.965454638E-1,4.653449357E-2,-1.102770641E-1,5.107679391E-1
4.158228890E-1,-4.831064343E-1,6.424959004E-2,-1.041684002E-1,4.983682296E-1
4.178242220E-1,-4.769977927E-1,7.402343303E-2,-1.011140794E-1,4.931839616E-1
4.198255880E-1,-4.653913677E-1,8.929505944E-2,-9.622715414E-2,4.835518565E-1
4.218295880E-1,-4.476762712E-1,1.070101559E-1,-8.767504990E-2,4.685639035E-1
