"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.988071850E-1,2.392759174E-2,1.459784657E-1,-4.540378228E-2,1.547376668E-1
3.008081850E-1,2.087326534E-2,1.429241449E-1,-4.662550986E-2,1.517792560E-1
3.028096850E-1,1.659720764E-2,1.526979804E-1,-3.990599513E-2,1.586966571E-1
3.048110180E-1,1.476461347E-2,1.526979804E-1,-3.562993556E-2,1.574933628E-1
3.068125180E-1,1.415374782E-2,1.539197117E-1,-3.440820798E-2,1.583525529E-1
3.088137180E-1,1.048855577E-2,1.539197117E-1,-3.562993556E-2,1.583375501E-1
3.108152180E-1,3.158173291E-3,1.581957638E-1,-2.646695822E-2,1.604256015E-1
3.128155030E-1,9.266825393E-3,1.661370248E-1,-1.608224958E-2,1.671706428E-1
3.148158780E-1,9.266825393E-3,1.661370248E-1,-1.608224958E-2,1.671706428E-1
3.168172110E-1,6.823364645E-3,1.630826890E-1,-1.486051828E-2,1.639004478E-1
3.188185110E-1,4.990769085E-3,1.673587561E-1,-8.141000755E-3,1.676309545E-1
3.208197830E-1,6.823364645E-3,1.704130769E-1,-3.254079027E-3,1.705806674E-1
3.228211160E-1,5.601634271E-3,1.771325916E-1,-8.106181631E-4,1.772229963E-1
3.248221920E-1,4.990769085E-3,1.746891290E-1,4.687169101E-3,1.748232511E-1
3.268234770E-1,2.547307871E-3,1.844629794E-1,1.385014690E-2,1.849997463E-1
3.288248100E-1,1.109942142E-2,1.862955838E-1,1.873707026E-2,1.875641744E-1
3.308261220E-1,6.212499458E-3,1.899607629E-1,2.667831816E-2,1.919255565E-1
3.328274740E-1,7.434229832E-3,1.936259568E-1,3.156523779E-2,1.963228034E-1
3.348288070E-1,9.877691045E-3,1.966802776E-1,3.400870040E-2,1.998431687E-1
3.368301220E-1,7.147123106E-4,2.052323967E-1,3.889562190E-2,2.088868519E-1
3.388314720E-1,1.415374782E-2,2.076758593E-1,4.500427470E-2,2.129670770E-1
3.408328050E-1,1.109942142E-2,2.137845159E-1,4.439340904E-2,2.186270595E-1
3.428341230E-1,1.232115179E-2,2.192822993E-1,5.050206557E-2,2.253597040E-1
3.448354700E-1,1.232115179E-2,2.253909409E-1,4.317168146E-2,2.298188006E-1
3.468368030E-1,1.842980459E-2,2.308887392E-1,4.866946861E-2,2.366811880E-1
3.488381230E-1,2.453845553E-2,2.363865227E-1,5.661071464E-2,2.443061540E-1
3.508394690E-1,2.576018684E-2,2.418843061E-1,5.233465880E-2,2.488182495E-1
3.528408020E-1,3.003624268E-2,2.467712462E-1,4.683687165E-2,2.529662356E-1
3.548421230E-1,3.492316604E-2,2.534907460E-1,4.744773358E-2,2.602469467E-1
3.568434670E-1,3.431230038E-2,2.534907460E-1,4.439340904E-2,2.596260138E-1
3.588448000E-1,4.286441579E-2,2.614319921E-1,4.866946861E-2,2.693561987E-1
3.608461330E-1,4.530787840E-2,2.669297755E-1,4.256081209E-2,2.740724933E-1
3.628474660E-1,4.714047164E-2,2.657080591E-1,3.767389432E-2,2.724744374E-1
3.648487990E-1,4.958393052E-2,2.760927677E-1,3.034351021E-2,2.821462585E-1
3.668500990E-1,5.141652748E-2,2.852557302E-1,3.461956605E-2,2.919126671E-1
3.688514650E-1,4.714047164E-2,2.858666182E-1,3.095437400E-2,2.913762528E-1
3.708527650E-1,5.324912444E-2,2.925861180E-1,2.790004946E-2,2.986980389E-1
3.728543310E-1,5.874691159E-2,2.962513268E-1,1.995879970E-2,3.026787107E-1
3.748559310E-1,6.485556066E-2,2.950296104E-1,1.934793405E-2,3.026930084E-1
3.768572640E-1,6.057950482E-2,2.913644016E-1,1.262841746E-2,2.978633375E-1
3.788585970E-1,6.607729197E-2,2.913644016E-1,1.201755274E-2,2.990047568E-1
3.808614970E-1,6.119037420E-2,2.913644016E-1,5.298034288E-3,2.977676033E-1
3.828628300E-1,6.668815762E-2,2.895317972E-1,3.465438494E-3,2.971329352E-1
3.848642630E-1,6.180123612E-2,2.950296104E-1,4.111122980E-4,3.014332974E-1
3.868656290E-1,6.180123612E-2,2.968621850E-1,4.111122980E-4,3.032271734E-1
3.888669620E-1,5.202739313E-2,2.950296104E-1,-5.697540473E-3,2.996360836E-1
3.908682950E-1,4.897306859E-2,2.919752598E-1,-7.530136034E-3,2.961496526E-1
3.928696280E-1,5.080566555E-2,2.950296104E-1,-6.919270381E-3,2.994521046E-1
3.948709610E-1,4.164268449E-2,2.950296104E-1,-1.486051828E-2,2.983243523E-1
3.968722940E-1,3.858835623E-2,2.962513268E-1,-1.608224958E-2,2.991864780E-1
3.988736270E-1,3.125797585E-2,2.974730432E-1,-9.973596781E-3,2.992770374E-1
4.008749600E-1,3.125797585E-2,3.011382520E-1,-1.241705753E-2,3.030107114E-1
4.028763260E-1,2.576018684E-2,3.005273640E-1,-1.852571033E-2,3.021977592E-1
4.048792590E-1,2.209499478E-2,2.974730432E-1,-2.158003673E-2,2.990720619E-1
4.068805920E-1,2.209499478E-2,2.956404388E-1,-1.913657598E-2,2.970819186E-1
4.088819580E-1,1.842980459E-2,3.029708266E-1,-1.730397902E-2,3.040236951E-1
4.108841580E-1,1.415374782E-2,2.962513268E-1,-2.891041897E-2,2.979949488E-1
4.128854910E-1,1.232115179E-2,2.919752598E-1,-3.562993556E-2,2.943991430E-1
4.148868570E-1,8.655959740E-3,2.925861180E-1,-4.112772271E-2,2.955893294E-1
4.168881900E-1,6.212499458E-3,2.944187224E-1,-4.051686078E-2,2.972584654E-1
4.188941230E-1,5.601634271E-3,2.962513268E-1,-5.090156943E-2,3.006446353E-1
4.208954890E-1,7.434229832E-3,2.962513268E-1,-5.456675962E-2,3.013264802E-1
4.228968220E-1,5.601634271E-3,2.931969762E-1,-6.128627807E-2,2.995861362E-1
4.248981550E-1,9.266825393E-3,2.944187224E-1,-6.678406894E-2,3.020403450E-1
4.268995210E-1,8.655959740E-3,2.913644016E-1,-6.922752410E-2,2.996007180E-1
4.289008540E-1,1.415374782E-2,2.895317972E-1,-8.144482970E-2,3.011017277E-1
4.309021870E-1,2.331672609E-2,2.876992226E-1,-9.060781449E-2,3.025298141E-1
4.329035530E-1,2.942537889E-2,2.870883346E-1,-8.755347878E-2,3.015811274E-1
4.349048860E-1,4.042095318E-2,2.828122973E-1,-1.058794409E-1,3.046754092E-1
4.369062190E-1,4.469700903E-2,2.828122973E-1,-1.083228961E-1,3.061281888E-1
4.389075850E-1,5.324912444E-2,2.803688347E-1,-1.193184704E-1,3.093203034E-1
4.409071850E-1,6.424469501E-2,2.773144841E-1,-1.333683729E-1,3.143530290E-1
4.429085180E-1,6.852075458E-2,2.767036557E-1,-1.364226937E-1,3.160239837E-1
4.449098840E-1,7.768373191E-2,2.785362303E-1,-1.419204921E-1,3.221158485E-1
4.469112170E-1,9.356623143E-2,2.760927677E-1,-1.523052007E-1,3.289053514E-1
4.489125500E-1,9.600968659E-2,2.760927677E-1,-1.553595215E-1,3.310312028E-1
4.509161830E-1,1.039509326E-1,2.718167007E-1,-1.614681631E-1,3.328093792E-1
4.529175160E-1,1.186117008E-1,2.675406635E-1,-1.675768346E-1,3.372369162E-1
4.549210160E-1,1.161682457E-1,2.681515217E-1,-1.755180806E-1,3.408913265E-1
4.569223820E-1,1.283855438E-1,2.638754547E-1,-1.797941327E-1,3.441497255E-1
4.589237150E-1,1.326616108E-1,2.663189173E-1,-1.834593266E-1,3.495456955E-1
4.609250480E-1,1.399919838E-1,2.681515217E-1,-1.871245056E-1,3.556944963E-1
4.629263810E-1,1.436571777E-1,2.553233504E-1,-1.987309605E-1,3.540076166E-1
4.649261140E-1,1.454897821E-1,2.565450668E-1,-2.017852813E-1,3.573512946E-1
4.669274470E-1,1.546527594E-1,2.559342086E-1,-2.060613334E-1,3.631543312E-1
4.689285800E-1,1.668700576E-1,2.498255670E-1,-2.121700048E-1,3.677968747E-1
4.709290460E-1,1.711461246E-1,2.437169105E-1,-2.127808481E-1,3.660117727E-1
4.729308790E-1,1.723678410E-1,2.424951792E-1,-2.133917212E-1,3.661292275E-1
4.749322450E-1,1.790873557E-1,2.382191122E-1,-2.195003778E-1,3.701365184E-1
4.769335780E-1,1.833634228E-1,2.345539182E-1,-2.195003778E-1,3.698893094E-1
4.789303440E-1,1.827525496E-1,2.278344184E-1,-2.170569152E-1,3.638965801E-1
4.809317100E-1,1.821416914E-1,2.278344184E-1,-2.195003778E-1,3.650541519E-1
4.829330430E-1,1.845851392E-1,2.235583514E-1,-2.182786465E-1,3.628988531E-1
4.849344090E-1,1.900829375E-1,2.186714262E-1,-2.207221091E-1,3.642347666E-1
4.869357420E-1,1.894720793E-1,2.125627697E-1,-2.182786465E-1,3.587870780E-1
4.889371080E-1,1.870286167E-1,2.137845159E-1,-2.140025944E-1,3.556411577E-1
4.909384740E-1,1.906937957E-1,2.088975757E-1,-2.066722065E-1,3.503080385E-1
4.929409740E-1,1.858068854E-1,2.027889341E-1,-2.048396170E-1,3.429385064E-1
4.949423400E-1,1.894720793E-1,1.972911507E-1,-2.072830647E-1,3.432050930E-1
4.969437060E-1,1.888612062E-1,1.979020089E-1,-1.999526769E-1,3.388433758E-1
4.989450720E-1,1.894720793E-1,1.979020089E-1,-1.987309605E-1,3.384654615E-1
5.009466380E-1,1.888612062E-1,1.930150837E-1,-1.926223040E-1,3.317027731E-1
5.029477040E-1,1.815308183E-1,1.911824942E-1,-1.859027892E-1,3.225895707E-1
5.049490370E-1,1.845851392E-1,1.881281734E-1,-1.871245056E-1,3.232328322E-1
5.069503700E-1,1.760330349E-1,1.862955838E-1,-1.785724014E-1,3.123808197E-1
5.089517360E-1,1.815308183E-1,1.807977855E-1,-1.687985510E-1,3.068130181E-1
5.109508360E-1,1.748113036E-1,1.795760542E-1,-1.620790362E-1,2.984563035E-1
5.129522020E-1,1.723678410E-1,1.728565395E-1,-1.596355736E-1,2.916737428E-1
5.149514020E-1,1.735895723E-1,1.661370248E-1,-1.486400217E-1,2.825397435E-1
5.169527680E-1,1.662591994E-1,1.655261517E-1,-1.437530816E-1,2.751471910E-1
5.189541010E-1,1.601505429E-1,1.588066369E-1,-1.388661712E-1,2.648613936E-1
5.209551670E-1,1.454897821E-1,1.526979804E-1,-1.321466565E-1,2.488909174E-1
5.229565000E-1,1.418245882E-1,1.490327865E-1,-1.235945374E-1,2.400012394E-1
5.249578660E-1,1.283855438E-1,1.484219432E-1,-1.180967465E-1,2.290387797E-1
5.269592660E-1,1.100595966E-1,1.435350031E-1,-1.132098213E-1,2.133819944E-1
5.289607990E-1,1.045618057E-1,1.441458762E-1,-1.077120379E-1,2.081179664E-1
5.309621650E-1,8.684670925E-2,1.380372196E-1,-1.022142470E-1,1.924691591E-1
5.329630310E-1,8.012719452E-2,1.368154883E-1,-9.977079183E-2,1.873314070E-1
5.349643640E-1,6.363382936E-2,1.392589509E-1,-9.610559791E-2,1.807722479E-1
5.369664300E-1,4.469700903E-2,1.362046152E-1,-8.755347878E-2,1.679736035E-1
5.389677960E-1,3.797749430E-2,1.337611675E-1,-9.427300096E-2,1.679932699E-1
5.409690960E-1,2.270586230E-2,1.343720257E-1,-8.877521753E-2,1.626420509E-1
5.429704290E-1,1.171028707E-2,1.282633841E-1,-9.060781449E-2,1.574750856E-1
5.449717950E-1,3.769038711E-3,1.331502944E-1,-8.633174747E-2,1.587336674E-1
5.469731610E-1,-4.783074837E-3,1.349828988E-1,-8.999694139E-2,1.623043753E-1
5.489744940E-1,-1.516778395E-2,1.362046152E-1,-8.938607574E-2,1.636203820E-1
5.509758600E-1,-1.944383979E-2,1.349828988E-1,-9.366213530E-2,1.654419580E-1
5.529760600E-1,-2.860681899E-2,1.404806823E-1,-9.366213530E-2,1.712476796E-1
5.549773930E-1,-3.532633558E-2,1.447567493E-1,-9.427300096E-2,1.763231838E-1
5.569787260E-1,-3.838066384E-2,1.526979804E-1,-9.549472481E-2,1.841439411E-1
5.589800590E-1,-4.693277925E-2,1.545305848E-1,-9.977079183E-2,1.898330801E-1
5.609813920E-1,-4.815450683E-2,1.588066369E-1,-1.040468439E-1,1.958676854E-1
5.629830580E-1,-5.609575659E-2,1.624718308E-1,-1.046577096E-1,2.012388280E-1
5.649843910E-1,-6.159354374E-2,1.740782559E-1,-1.040468439E-1,2.119498751E-1
5.669857570E-1,-6.464786828E-2,1.759108603E-1,-1.052685753E-1,2.149545314E-1
5.689870900E-1,-7.014565170E-2,1.850738376E-1,-1.083228961E-1,2.256248826E-1
